question;choice1;choice2;choice3;choice4;answer
Jika seseorang membaca satu cerita 'Seribu Satu Malam' setiap malam, berapa peluang dia membaca cerita yang sama dalam 10 malam jika bukunya memiliki 200 cerita?;0.05;0.005;0.0005;0.5;0.05
Seorang penyihir menggunakan ramuan yang mengandung asam sulfat. Jika ramuan itu bereaksi dengan logam, apa yang terjadi?;Tidak ada reaksi;Menghasilkan gas hidrogen;Menghasilkan gas oksigen;Menghasilkan air;Menghasilkan gas hidrogen
Sebuah lampu ajaib cerita mengeluarkan cahaya saat digosok. Jika energi gesekan diubah menjadi energi cahaya, contoh fenomena fisika apa ini?;Pemantulan;Refraksi;Transduksi;Dispersi;Transduksi
Tanaman ajaib tumbuh dalam semalam. Jika tanaman ini menggandakan tinggi setiap jam, berapa kali lipat tinggi awalnya setelah 3 jam?;3 kali;6 kali;8 kali;9 kali;8 kali
Seorang pangeran memecahkan kode rahasia dalam cerita. Jika kode tersebut terdiri 5 huruf yang diacak, berapa banyak kombinasi yang mungkin ada dengan 26 huruf alfabet?;11.881.376;7.775.136;3.200.000;2.000.000;11.881.376
Cerita sering menggunakan metafora, seperti 'lautan emosi'. Apa fungsi penggunaan metafora dalam sastra?;Untuk memberikan definisi yang tepat;Untuk membingungkan pembaca;Untuk menambah kedalaman narasi;Untuk mempersingkat cerita;Untuk menambah kedalaman narasi
Seorang pangeran mendengar seratus cerita dalam seratus hari. Berapa rata-rata cerita yang didengar per hari?;1 cerita;2 cerita;0.5 cerita;1.5 cerita;1 cerita
Sebuah botol ajaib dalam cerita mampu mempertahankan suhunya. Jika suhu luar adalah 35°C dan suhu dalam botol adalah 20°C, apa yang bisa dikatakan tentang bahan botol berdasarkan hukum termodinamika?;Konduktor yang baik;Isolator yang baik;Semikonduktor;Penghantar panas yang buruk;Isolator yang baik
Seorang pedagang memiliki frekuensi penjualan yang tinggi di hari kerja dan rendah di akhir pekan. Jika frekuensi penjualan hari kerja adalah 50 dan akhir pekan adalah 20, berapa distribusi frekuensi relatif penjualan di hari kerja?;0.5;0.25;0.75;0.6;0.75
Jika tokoh cerita berjalan 100 km ke timur, lalu 100 km ke utara, berapa jarak terpendek kembali ke titik awalnya dalam km?;200 km;141.4 km;100 km;50 km;141.4 km
