question;choice1;choice2;choice3;choice4;answer
Apa yang dimaksud dengan bioteknologi?;Penggunaan organisme hidup untuk menghasilkan produk yang bermanfaat;Studi tentang tumbuhan;Studi tentang hewan modern;Penggunaan mesin untuk memproduksi makanan;Penggunaan organisme hidup untuk menghasilkan produk yang bermanfaat
Apa yang dimaksud dengan fermentasi dalam bioteknologi?;Proses penguraian gula oleh mikroorganisme;Proses fotosintesis oleh tumbuhan;Proses respirasi oleh hewan;Proses penguapan air;Proses penguraian gula oleh mikroorganisme
Apa yang dimaksud dengan rekayasa genetika?;Manipulasi gen untuk menghasilkan organisme dengan sifat tertentu;Proses penguraian gula oleh mikroorganisme;Studi tentang hewan modern;Penggunaan mesin untuk memproduksi makanan;Manipulasi gen untuk menghasilkan organisme dengan sifat tertentu
Apa fungsi utama enzim dalam proses bioteknologi?;Mempercepat reaksi biokimia;Mengatur suhu tubuh;Mengontrol pencernaan;Menghasilkan energi;Mempercepat reaksi biokimia
Apa yang dimaksud dengan kloning?;Proses menghasilkan salinan identik dari organisme;Proses penguraian gula oleh mikroorganisme;Proses fotosintesis oleh tumbuhan;Proses respirasi oleh hewan;Proses menghasilkan salinan identik dari organisme
Apa yang dimaksud dengan kultur jaringan?;Penumbuhan sel atau jaringan dalam kondisi steril di laboratorium;Pengamatan mikroorganisme di alam;Proses pengawetan makanan;Pembentukan antibiotik oleh mikroorganisme;Penumbuhan sel atau jaringan dalam kondisi steril di laboratorium
Apa yang dimaksud dengan bioremediasi?;Penggunaan mikroorganisme untuk membersihkan polutan dari lingkungan;Penggunaan tumbuhan untuk menghias taman;Penggunaan hewan untuk penelitian;Penggunaan mesin untuk memproduksi makanan;Penggunaan mikroorganisme untuk membersihkan polutan dari lingkungan
Apa yang dimaksud dengan organisme transgenik?;Organisme yang mengandung gen dari spesies lain;Organisme yang hidup di lingkungan ekstrim;Organisme yang tidak dapat bereproduksi;Organisme yang hanya hidup di air;Organisme yang mengandung gen dari spesies lain
Apa yang dimaksud dengan enzim restriksi?;Enzim yang memotong DNA pada urutan spesifik;Enzim yang membantu pencernaan makanan;Enzim yang menguraikan gula;Enzim yang menghasilkan energi;Enzim yang memotong DNA pada urutan spesifik
Apa yang dimaksud dengan PCR (Polymerase Chain Reaction)?;Teknik untuk memperbanyak fragmen DNA;Teknik untuk mengukur suhu tubuh;Teknik untuk menghasilkan energi;Teknik untuk mencerna makanan;Teknik untuk memperbanyak fragmen DNA
Apa fungsi utama antibiotik dalam bioteknologi?;Membunuh atau menghambat pertumbuhan bakteri;Meningkatkan pertumbuhan tanaman;Mengatur suhu tubuh;Mengontrol pencernaan;Membunuh atau menghambat pertumbuhan bakteri
Apa yang dimaksud dengan vaksin dalam konteks bioteknologi?;Zat yang merangsang produksi antibodi untuk melawan penyakit;Obat yang membunuh bakteri;Vitamin yang meningkatkan kekebalan tubuh;Hormon yang mengatur metabolisme;Zat yang merangsang produksi antibodi untuk melawan penyakit
Apa yang dimaksud dengan probiotik?;Mikroorganisme yang memberikan manfaat kesehatan saat dikonsumsi;Mikroorganisme yang menyebabkan penyakit;Mikroorganisme yang hidup di air;Mikroorganisme yang hidup di tanah;Mikroorganisme yang memberikan manfaat kesehatan saat dikonsumsi
Apa yang dimaksud dengan CRISPR?;Teknik pengeditan gen yang spesifik dan efisien;Teknik memperbanyak DNA;Teknik mengukur suhu tubuh;Teknik menguraikan gula;Teknik pengeditan gen yang spesifik dan efisien
Apa yang dimaksud dengan biofuel?;Bahan bakar yang dihasilkan dari bahan biologis;Bahan bakar fosil;Energi yang dihasilkan dari matahari;Energi yang dihasilkan dari angin;Bahan bakar yang dihasilkan dari bahan biologis
Apa yang dimaksud dengan bioplastik?;Plastik yang dibuat dari bahan biologis dan dapat terurai;Plastik yang tidak dapat terurai;Plastik yang dibuat dari minyak bumi;Plastik yang digunakan untuk membuat mainan;Plastik yang dibuat dari bahan biologis dan dapat terurai
Apa yang dimaksud dengan terapi gen?;Penggantian gen yang rusak dengan gen yang sehat;Penggunaan obat untuk mengobati penyakit;Penggunaan mikroorganisme untuk memproduksi makanan;Penggunaan tumbuhan untuk menghias taman;Penggantian gen yang rusak dengan gen yang sehat
Apa yang dimaksud dengan kultur mikroba?;Penumbuhan mikroorganisme di laboratorium;Pengamatan mikroorganisme di alam;Proses pengawetan makanan;Pembentukan antibiotik oleh mikroorganisme;Penumbuhan mikroorganisme di laboratorium
Apa yang dimaksud dengan enzim ligase?;Enzim yang menyambungkan fragmen DNA;Enzim yang memotong DNA;Enzim yang menguraikan gula;Enzim yang membantu pencernaan makanan;Enzim yang menyambungkan fragmen DNA
Apa yang dimaksud dengan bioproses?;Penggunaan organisme hidup untuk memproduksi produk komersial;Penggunaan mesin untuk memproduksi makanan;Penggunaan tumbuhan untuk menghias taman;Penggunaan hewan untuk penelitian;Penggunaan organisme hidup untuk memproduksi produk komersial
