question;choice1;choice2;choice3;choice4;answer
Dalam matematika, kata 'integral' digunakan untuk menggambarkan jenis perhitungan tertentu. Apa sinonim dari 'integral' dalam konteks ini?;Essential;Divisive;Peripheral;Fundamental;Fundamental
Dalam fisika, 'velocity' mengacu pada kecepatan sesuatu dalam arah tertentu. Kata apa yang paling tepat sebagai sinonim dari 'velocity'?;Speed;Acceleration;Pace;Rapidity;Speed
Kata 'catalyst' dalam kimia sering digunakan untuk zat yang mempercepat reaksi. Pilih kata yang paling tidak sesuai sebagai sinonim dari 'catalyst'.;Inhibitor;Accelerator;Promoter;Activator;Inhibitor
Dalam biologi, 'mutation' mengacu pada perubahan genetik. Kata mana yang bisa dianggap sinonim dari 'mutation'?;Alteration;Stability;Constancy;Uniformity;Alteration
Dalam sastra, 'protagonist' sering digunakan untuk menggambarkan karakter utama. Pilih sinonim yang tepat untuk 'protagonist'.;Antagonist;Hero;Opponent;Rival;Hero
Dalam ekonomi, 'equity' merujuk pada nilai kepemilikan dalam bisnis. Sinonim yang sesuai untuk 'equity' adalah:;Debt;Asset;Liability;Ownership;Ownership
Dalam astronomi, 'nebula' adalah awan gas dan debu di luar angkasa. Kata yang paling sesuai untuk menggambarkan 'nebula' adalah:;Galaxy;Cluster;Cloud;Orbit;Cloud
Dalam matematika, kata 'asymptote' digunakan untuk garis yang mendekati kurva tetapi tidak pernah menyentuhnya. Sinonim yang tepat untuk 'asymptote' adalah:;Boundary;Limit;Edge;Border;Limit
Dalam kimia, 'solvent' adalah zat yang mampu melarutkan zat lain. Kata yang paling tidak sesuai sebagai sinonim dari 'solvent' adalah:;Medium;Dissolver;Catalyst;Agent;Catalyst
Dalam fisika, 'entropy' adalah ukuran ketidakteraturan atau keacakan dalam sistem. Pilih sinonim yang paling tepat untuk 'entropy'.;Disorder;Energy;Chaos;Complexity;Disorder
