question;choice1;choice2;choice3;choice4;answer
Jika sebuah wilayah kehilangan air tanah sebanyak 100.000 m³ setiap bulan akibat penguapan yang tinggi, berapa total volume air yang hilang dalam setahun?;1.200.000 m³;1.000.000 m³;800.000 m³;1.500.000 m³;1.200.000 m³
Selama kekeringan, suhu di sebuah kota meningkat dari 25°C menjadi 35°C. Jika kapasitas panas spesifik tanah adalah 2 J/g°C, berapa banyak energi yang diperlukan untuk meningkatkan suhu 10 kg tanah sebanyak 1°C?;20 Joule;200 Joule;2.000 Joule;20.000 Joule;20.000 Joule
Dalam kekeringan, 7 pengukuran kelembaban tanah ditemukan sebagai berikut: 15%, 12%, 10%, 15%, 12%, 8%, 15%. Berapa modus kelembaban tanah?;15%;12%;10%;8%;15%
Jika sebuah danau mengalami penurunan volume sebesar 5% per tahun akibat kekeringan, berapa volume danau setelah 2 tahun jika volume awal adalah 100.000 m³?;90.250 m³;95.000 m³;85.000 m³;75.000 m³;90.250 m³
Sebuah survei mengukur suhu di 5 titik berbeda selama kekeringan: 30°C, 32°C, 31°C, 30°C, dan 29°C. Berapa rata-rata suhu yang tercatat?;30.4°C;30.6°C;31.0°C;29.8°C;30.4°C
Sebuah penelitian mengamati penurunan volume air di 6 bendungan karena kekeringan, mencatat penurunan berikut dalam m³: 1500, 1200, 1000, 1500, 1200, 1000. Berapa median penurunan volume air?;1200 m³;1250 m³;1500 m³;1000 m³;1200 m³
Jika konsentrasi oksigen terlarut di air menurun sebesar 0.2 mg/L per hari selama kekeringan, berapa konsentrasi setelah 10 hari jika konsentrasi awal adalah 8 mg/L?;6 mg/L;4 mg/L;2 mg/L;8 mg/L;6 mg/L
Dalam kekeringan, sebuah kawasan kehilangan 30% dari cadangan airnya yang berjumlah 50.000 m³. Berapa volume air yang tersisa?;35.000 m³;15.000 m³;30.000 m³;25.000 m³;35.000 m³
Jika sebuah area mengalami peningkatan suhu rata-rata dari 20°C menjadi 25°C, dan jika panjang 100 meter pagar besi mengalami ekspansi termal, berapa perpanjangan yang terjadi jika koefisien ekspansi linear besi adalah 0.000012/°C?;0.006 meter;0.012 meter;0.0012 meter;0.0060 meter;0.006 meter
Jika frekuensi kekeringan meningkat dari 2 kali per tahun menjadi 4 kali per tahun, berapa persentase peningkatan kejadian kekeringan?;50%;100%;200%;150%;100%
