question;choice1;choice2;choice3;choice4;answer
Sebuah buku memiliki 120 halaman. Berapa jumlah digit yang digunakan jika semua halaman dinomori secara berurutan?;252;342;232;243;252
Jika halaman 85 diberi nomor dengan bilangan Romawi, bagaimana penulisannya?;LXXXV;LVXXX;XVXXX;LXXXVX;LXXXV
Berapa banyak halaman yang bernomor prima antara halaman 1 sampai 100?;25;26;23;24;25
Jika sebuah buku berisi 150 halaman, berapa banyak halaman yang bernomor rasional?;150;75;100;50;150
Halaman 199 ditulis dalam bilangan Romawi. Tuliskan penulisannya.;CXCIX;IC;MCMXCIX;CXCIIX;CXCIX
Sebuah buku tebal memiliki halaman dari 1 hingga 1000. Berapa jumlah total digit yang digunakan untuk menomori halaman tersebut?;2893;2923;2943;2933;2893
Berapa banyak halaman yang bernomor bilangan rasional di antara halaman 50 dan 150?;100;50;101;75;101
Sebuah buku dengan 50 halaman, berapa kali angka '5' muncul dalam penomoran halaman?;6;5;15;10;15
Jika sebuah buku dimulai dari halaman 12 dan berakhir pada halaman 100, berapa banyak halaman yang bernomor bilangan prima?;19;21;17;23;21
Di sebuah buku yang dimulai dari halaman 1 dan berakhir pada halaman 50, berapa halaman yang bernomor dalam bilangan Romawi yang mengandung huruf 'V'?;7;10;5;9;10
