question;choice1;choice2;choice3;choice4;answer
Siapakah tokoh utama dalam novel 'Bumi Manusia'?;Minke;Nyai Ontosoroh;Annelies;Robert Suurhof;Minke
Apa status sosial Minke dalam masyarakat pada masa itu dalam novel 'Bumi Manusia'?;Bangsawan Jawa;Penduduk pribumi;Kolonial Belanda;Buruh perkebunan;Bangsawan Jawa
Bagaimana novel 'Bumi Manusia' menggambarkan hubungan antara pribumi dan kolonial?;Harmonis dan setara;Konflik dan diskriminatif;Kooperatif dan menguntungkan;Indiferen dan terpisah;Konflik dan diskriminatif
Apa peran Nyai Ontosoroh dalam novel tersebut?;Seorang guru;Ibu rumah tangga;Pemimpin pemberontakan;Pemilik perkebunan;Pemilik perkebunan
Tema apa yang dominan dalam 'Bumi Manusia'?;Pendidikan dan pembelajaran;Identitas dan perjuangan;Romansa dan persahabatan;Politik dan kekuasaan;Identitas dan perjuangan
Bagaimana hubungan Minke dan Annelies dikembangkan dalam novel?;Mereka bersahabat sejak kecil;Mereka adalah saudara;Mereka adalah musuh;Mereka adalah kekasih;Mereka adalah kekasih
Apa pengaruh novel 'Bumi Manusia' terhadap literatur Indonesia?;Memberikan perspektif baru tentang sejarah;Mempopulerkan genre fiksi ilmiah;Mengurangi popularitas sastra klasik;Meningkatkan penjualan novel romansa;Memberikan perspektif baru tentang sejarah
Bagaimana peran kolonialisme dalam pengembangan plot dalam 'Bumi Manusia'?;Sebagai latar belakang saja;Sebagai pendorong utama konflik;Tidak terlalu berpengaruh;Hanya sebagai tambahan cerita;Sebagai pendorong utama konflik
Novel ini banyak menggunakan dialog dalam narasinya. Untuk apa dialog tersebut digunakan?;Mendalamkan karakter;Mengisi ruang halaman;Menambah humor;Menjelaskan latar belakang;Mendalamkan karakter
Apa akhir cerita Minke dalam novel 'Bumi Manusia'?;Dia menjadi pemimpin politik;Dia terasingkan;Dia kembali ke keluarganya;Dia menikah dengan Nyai Ontosoroh;Dia terasingkan
