question;choice1;choice2;choice3;choice4;answer
What is the SI unit for mass?;Gram;Kilogram;Milligram;Ton;Kilogram
What is the unit for length?;Liter;Meter;Kilogram;Newton;Meter
What is the unit for time?;Second;Hour;Day;Minute;Second
How many millimeters are in a meter?;10;100;1000;10000;1000
What is the SI unit for temperature?;Kelvin;Celsius;Fahrenheit;Degree;Kelvin
What is the SI unit for force?;Joule;Pascal;Newton;Watt;Newton
How many liters are in a cubic meter?;10;100;10000;1000
What is the SI unit for speed?;Meter per second;Kilometer per hour;Meter per minute;Kilometer per second;Meter per second
What is the SI unit of energy?;Joule;Watt;Newton;Pascal;Joule
What is the unit of pressure?;Newton;Pascal;Joule;Watt;Pascal
What is the unit of power?;Joule;Watt;Newton;Pascal;Watt
How many centimeters are in a meter?;10;100;1000;10000;100
What is the SI unit of volume?;Liter;Cubic meter;Milliliter;Cubic centimeter;Cubic meter
What is the unit of frequency?;Hertz;Pascal;Joule;Watt;Hertz
What is the SI unit of electrical resistance?;Volt;Ohm;Ampere;Watt;Ohm
What is the unit of electric current?;Volt;Ohm;Ampere;Watt;Ampere
How many kilograms are in a ton?;10;100;10000;1000
What is the SI unit of to measure wavelength?;Meter;Hertz;Newton;Pascal;Meter
What is the unit for measuring light intensity?;Candela;Lumen;Lux;Watt;Candela
What is the unit for measuring electric voltage?;Ohm;Volt;Ampere;Watt;Volt
