question;choice1;choice2;choice3;choice4;answer
Siapa yang dikenal sebagai Bapak Proklamator Kemerdekaan Indonesia?;Ir. Soekarno;Jenderal Soedirman;Mohammad Hatta;Ki Hajar Dewantara;Ir. Soekarno
Pada tanggal berapa Indonesia memproklamasikan kemerdekaannya?;17 Agustus 1945;1 Juni 1945;27 Desember 1949;10 November 1945;17 Agustus 1945
Kerajaan Hindu tertua di Indonesia adalah kerajaan apa?;Kerajaan Kutai;Kerajaan Majapahit;Kerajaan Sriwijaya;Kerajaan Tarumanegara;Kerajaan Kutai
Siapa yang dikenal sebagai pahlawan nasional yang berperan dalam pertempuran Surabaya?;Bung Tomo;Sultan Hasanuddin;Pattimura;Cut Nyak Dien;Bung Tomo
Perjanjian apa yang mengakhiri perjuangan diplomasi Indonesia di Konferensi Meja Bundar?;Perjanjian Linggarjati;Perjanjian Renville;Perjanjian Roem-Royen;Perjanjian Breda;Perjanjian Linggarjati
Monumen apa yang dibangun untuk memperingati perjuangan rakyat Indonesia?;Monumen Nasional;Tugu Muda;Monumen Tugu Pahlawan;Monumen Pancasila;Monumen Nasional
Pahlawan nasional Cut Nyak Dien berasal dari daerah mana?;Aceh;Sumatera Barat;Jawa Barat;Kalimantan;Aceh
Apa nama asli dari pahlawan Diponegoro?;Mustahar;Mangkunegara;Raden Mas Said;Bendara Pangeran Harya Antareja;Bendara Pangeran Harya Antareja
Gelar apa yang diberikan kepada Sultan Hasanuddin dari Makassar?;Ayu Ting Ting;Sultan yang Bijaksana;Ayam Jantan dari Timur;Singa dari Celebes;Ayam Jantan dari Timur
Apa nama pertempuran yang terjadi pada 10 November 1945, yang juga dikenal sebagai Hari Pahlawan?;Pertempuran Ambarawa;Pertempuran Medan Area;Pertempuran Surabaya;Pertempuran Bandung;Pertempuran Surabaya
