question;choice1;choice2;choice3;choice4;answer
Bagaimana perubahan iklim dapat mempengaruhi harga bahan pangan?;Menurunkan harga bahan pangan;Tidak ada pengaruh;Meningkatkan harga bahan pangan;Menurunkan permintaan pangan;Meningkatkan harga bahan pangan
Mengapa kekeringan dapat menyebabkan harga bahan pangan naik?;Menurunkan produksi pangan;Meningkatkan produksi pangan;Mengurangi biaya produksi;Menurunkan permintaan pangan;Menurunkan produksi pangan
Bagaimana banjir akibat perubahan iklim mempengaruhi harga beras?;Tidak ada pengaruh;Menurunkan harga beras;Meningkatkan harga beras;Meningkatkan produksi beras;Meningkatkan harga beras
Mengapa perubahan iklim dapat mempengaruhi stabilitas harga pangan?;Meningkatkan kestabilan harga;Tidak ada pengaruh;Membuat harga pangan tidak stabil;Menurunkan harga pangan;Membuat harga pangan tidak stabil
Apa dampak cuaca ekstrem terhadap pasokan pangan?;Meningkatkan pasokan pangan;Mengurangi pasokan pangan;Tidak ada pengaruh;Menurunkan kualitas pangan;Mengurangi pasokan pangan
Bagaimana perubahan iklim mempengaruhi biaya produksi pangan?;Menurunkan biaya produksi;Meningkatkan biaya produksi;Tidak ada pengaruh;Mengurangi kualitas hasil;Meningkatkan biaya produksi
Apa yang dapat dilakukan untuk menjaga harga bahan pangan tetap stabil di tengah perubahan iklim?;Meningkatkan produksi bahan bakar fosil;Mengurangi penggunaan teknologi pertanian;Mengadopsi teknologi pertanian berkelanjutan;Meningkatkan emisi gas rumah kaca;Mengadopsi teknologi pertanian berkelanjutan
Mengapa penting untuk mengurangi emisi gas rumah kaca dalam konteks harga pangan?;Untuk menjaga stabilitas harga pangan;Untuk meningkatkan polusi udara;Untuk menurunkan kualitas pangan;Untuk mengurangi biaya produksi;Untuk menjaga stabilitas harga pangan
Bagaimana peningkatan suhu global dapat mempengaruhi harga buah-buahan?;Menurunkan harga buah-buahan;Tidak ada pengaruh;Meningkatkan harga buah-buahan;Meningkatkan produksi buah-buahan;Meningkatkan harga buah-buahan
Apa yang dapat dilakukan petani untuk mengurangi dampak perubahan iklim terhadap harga pangan?;Menggunakan varietas tanaman tahan iklim;Meningkatkan penggunaan pupuk kimia;Mengurangi lahan pertanian;Meningkatkan emisi gas rumah kaca;Menggunakan varietas tanaman tahan iklim
