question;choice1;choice2;choice3;choice4;answer
Apa fungsi trigonometri yang mengukur perbandingan sisi depan sudut dengan hipotenusa?;Sinus;Kosinus;Tangen;Sekan;Sinus
Sudut mana yang selalu digunakan dalam trigonometri dasar?;90 derajat;180 derajat;270 derajat;360 derajat;90 derajat
Apa yang diukur oleh tangen sudut?;Perbandingan sisi depan dengan sisi samping;Perbandingan sisi samping dengan sisi depan;Perbandingan sisi depan dengan hipotenusa;Perbandingan hipotenusa dengan sisi depan;Perbandingan sisi depan dengan sisi samping
Fungsi trigonometri apa yang digunakan untuk menemukan sisi samping sudut dalam segitiga siku-siku?;Sinus;Kosinus;Tangen;Kotangen;Kosinus
Dalam trigonometri, apa nama garis yang berlawanan dengan sudut yang kita ukur?;Sisi miring;Hipotenusa;Sisi depan;Sisi samping;Sisi depan
Apa fungsi trigonometri yang mengukur perbandingan hipotenusa dengan sisi samping sudut?;Sekan;Kosekan;Sinus;Kosinus;Kosinus
Apa hasil dari sin 0 derajat?;0;1;0.5;Tidak terdefinisi;0
Sudut manakah yang dikenal sebagai sudut standar dalam trigonometri?;30 derajat;45 derajat;60 derajat;90 derajat;90 derajat
Jika tan 45 derajat adalah 1, berapa nilai tan 135 derajat?;0;1;-1;2;1
Berapa nilai cos 90 derajat?;1;0;0.5;-1;0
