question;choice1;choice2;choice3;choice4;answer
Sebuah bendungan mengalami kenaikan tingkat air 5 meter dalam seminggu akibat hujan lebat. Jika volume bendungan adalah 150.000 m³, berapa kenaikan volume air (dalam m³) jika luas permukaan air adalah 30.000 m²?;150.000 m³;15.000 m³;1.500.000 m³;150.000.000 m³;150.000 m³
Selama musim hujan, sebuah kota mencatat jumlah hujan seperti berikut: 10 mm, 20 mm, 10 mm, 5 mm, 15 mm, 10 mm. Berapa modus dari data tersebut?;10 mm;20 mm;5 mm;15 mm;10 mm
Jika tinggi air di sebuah sungai bertambah 4 meter dan lebar sungai 20 meter, berapa volume air yang bertambah jika panjang sungai adalah 1000 meter?;80.000 m³;40.000 m³;120.000 m³;160.000 m³;80.000 m³
Sebuah kota memiliki 7 sensor banjir yang mencatat ketinggian air selama banjir. Data yang tercatat adalah 1.5 m, 1.7 m, 1.8 m, 1.5 m, 2.0 m, 1.6 m, 1.5 m. Berapa median dari ketinggian air?;1.6 m;1.7 m;1.5 m;1.8 m;1.6 m
Sebuah sungai yang biasanya memiliki debit air 80 m³/s mengalami peningkatan hingga 120 m³/s akibat hujan lebat. Berapa persentase kenaikan debit air?;50%;40%;25%;30%;50%
Jika tinggi air banjir di 5 titik berbeda adalah 1.2 m, 1.5 m, 1.8 m, 2.1 m, dan 2.4 m, berapa rata-rata tinggi air?;1.8 m;2.0 m;1.6 m;2.2 m;1.8 m
Dalam satu bulan, sebuah kota mencatat curah hujan sebagai berikut: 25 cm, 30 cm, 35 cm, 40 cm, dan 45 cm. Berapa rata-rata curah hujan per bulan?;35 cm;30 cm;40 cm;25 cm;35 cm
Jika sebuah kawasan permukiman memiliki luas 5 km² dan diperkirakan volume banjir mencapai 10.000.000 m³, berapa kedalaman rata-rata air banjir?;2 meter;3 meter;1 meter;4 meter;2 meter
Sebuah kota tercatat memiliki frekuensi banjir tahunan sebagai berikut dalam 5 tahun terakhir: 2, 3, 5, 3, 4. Berapa median frekuensi banjir tahunan?;3;4;2;5;3
Jika volume air yang masuk ke dalam sebuah wilayah dataran rendah adalah 2.000.000 m³ dan luas wilayah tersebut adalah 2 km², berapa ketinggian air banjir?;1 meter;0.5 meter;1.5 meter;2 meter;1 meter
