question;choice1;choice2;choice3;choice4;answer
Berapa sudut dalam segitiga?;90 derajat;180 derajat;360 derajat;270 derajat;180 derajat
Berapa banyak sisi yang dimiliki sebuah persegi?;3 sisi;4 sisi;5 sisi;6 sisi;4 sisi
Apa nama bangun yang memiliki 3 sisi?;Segitiga;Segiempat;Lingkaran;Segienam;Segitiga
Jika satu sisi segitiga siku-siku adalah 3 cm dan sisi lainnya adalah 4 cm, berapa panjang sisi miringnya?;5 cm;6 cm;7 cm;8 cm;5 cm
Apa yang disebut sudut yang lebih kecil dari 90 derajat?;Sudut tumpul;Sudut siku-siku;Sudut lancip;Sudut refleks;Sudut lancip
Berapa jumlah sudut dalam sebuah segiempat?;90 derajat;180 derajat;360 derajat;270 derajat;360 derajat
Apa bentuk yang memiliki semua sisi dan sudut yang sama?;Segitiga sembarang;Persegi panjang;Lingkaran;Persegi;Persegi
Jika diameter lingkaran adalah 10 cm, berapa jari-jarinya?;10 cm;15 cm;5 cm;20 cm;5 cm
Apa istilah untuk sudut 180 derajat?;Sudut siku-siku;Sudut lurus;Sudut lancip;Sudut tumpul;Sudut lurus
Apa istilah untuk bangun tiga dimensi yang memiliki alas lingkaran dan satu titik puncak?;Kubus;Bola;Kerucut;Silinder;Kerucut
Berapa banyak sisi yang dimiliki sebuah heksagon?;5 sisi;6 sisi;7 sisi;8 sisi;6 sisi
Apa istilah untuk garis yang membagi lingkaran menjadi dua bagian yang sama?;Diameter;Radius;Tangente;Sekan;Diameter
Berapa banyak sisi yang dimiliki sebuah oktagon?;6 sisi;7 sisi;8 sisi;9 sisi;8 sisi
Berapa sudut yang dibentuk oleh dua garis yang berpotongan dan membentuk 'X'?;90 derajat;180 derajat;360 derajat;270 derajat;360 derajat
Jika sebuah trapesium memiliki dua sisi sejajar yang panjangnya 5 cm dan 7 cm, berapa panjang total kedua sisi tersebut?;12 cm;14 cm;10 cm;9 cm;12 cm
Berapa banyak sudut dalam sebuah heksagon?;540 derajat;720 derajat;360 derajat;180 derajat;720 derajat
Apa bentuk yang memiliki satu sisi dan satu sudut?;Segitiga;Lingkaran;Kubus;Persegi;Lingkaran
Apa nama sudut yang tepatnya 90 derajat?;Sudut lancip;Sudut tumpul;Sudut siku-siku;Sudut refleks;Sudut siku-siku
Jika luas persegi adalah 25 cm², berapa panjang satu sisinya?;5 cm;25 cm;10 cm;7.5 cm;5 cm
Berapa tinggi sebuah kerucut jika jari-jari alasnya 3 cm dan garis pelukisnya 5 cm?;4 cm;3 cm;5 cm;6 cm;4 cm
