question;choice1;choice2;choice3;choice4;answer
Jika suatu area pertanian mengalami penurunan curah hujan sebesar 20% dan produksi tanaman menurun dari 1000 ton menjadi 800 ton, berapa persentase penurunan produksi?;20%;15%;25%;10%;20%
Sebuah studi menunjukkan bahwa kekurangan air menyebabkan stres pada tanaman, mengurangi tingkat fotosintesis sebesar 30%. Jika tanaman menghasilkan 60 gram oksigen per hari, berapa produksi oksigen setelah stres?;42 gram;48 gram;36 gram;52 gram;42 gram
Dalam penelitian tentang pH tanah, diketahui bahwa tanah dengan pH di bawah 5 menyebabkan penurunan hasil panen. Jika tanah memiliki pH 4 dan perlu dinaikkan menjadi pH 5, berapa banyak kapur yang harus ditambahkan per hektar?;2 ton;1 ton;3 ton;4 ton;1 ton
Sebuah survei pada 50 petani menunjukkan bahwa 30 petani melaporkan gagal panen tahun ini. Berapa persentase petani yang mengalami gagal panen?;60%;50%;70%;40%;60%
Jika suhu rata-rata di area pertanian naik dari 25°C menjadi 30°C, berapa banyak air tambahan yang dibutuhkan oleh tanaman jagung untuk mengkompensasi peningkatan penguapan, jika setiap peningkatan 1°C membutuhkan tambahan 2 liter air per tanaman?;10 liter;15 liter;20 liter;5 liter;10 liter
Sebuah area pertanian yang memiliki 1000 pohon apel kehilangan 25% produksinya karena serangan hama yang meningkat akibat suhu hangat. Berapa banyak pohon yang masih produktif?;750 pohon;800 pohon;700 pohon;650 pohon;750 pohon
Dalam sebuah kajian, ditemukan bahwa 40% dari lahan pertanian mengalami penurunan kualitas tanah. Jika total lahan pertanian adalah 500 hektar, berapa hektar lahan yang mengalami penurunan kualitas?;200 hektar;150 hektar;250 hektar;100 hektar;200 hektar
Jika suhu meningkat dan penyakit tanaman meningkat sejajar, dan diperkirakan peningkatan suhu 1°C mengakibatkan peningkatan penyakit 10%, berapa peningkatan penyakit jika suhu naik 3°C?;30%;20%;40%;25%;30%
Jika rata-rata produksi jagung per hektar menurun dari 5 ton menjadi 3,5 ton akibat kekeringan, dan ada 20 hektar jagung, berapa total kehilangan produksi?;30 ton;20 ton;25 ton;15 ton;30 ton
Sebuah daerah pertanian mengukur tingkat kelembaban tanah setiap bulan dan mendapatkan nilai berikut: 12%, 10%, 12%, 11%, 13%, 12%. Berapa modus dari data kelembaban ini?;12%;10%;11%;13%;12%
