question;choice1;choice2;choice3;choice4;answer
Jika kamu memiliki 5 apel dan mendapatkan 3 apel lagi, berapa total apelmu?;7 apel;8 apel;9 apel;10 apel;8 apel
Berapa hasil dari 15 dikurangi 6?;7;8;9;11;9
Jika kamu membagi 12 permen ke 4 teman, berapa permen yang didapat setiap teman?;2 permen;3 permen;4 permen;5 permen;3 permen
Berapa hasil kali 7 dengan 6?;42;45;48;49;42
Berapa hasil dari 100 dibagi 20?;2;4;5;10;5
Jika kamu mengurangi 18 dengan 7, berapa hasilnya?;9;10;11;12;11
Berapa jumlah total dari 14, 16 dan 10?;40;35;30;50;40
Jika kamu memiliki 50 kelereng dan memberikan 22 kelereng ke temanmu, berapa kelereng yang tersisa?;28 kelereng;29 kelereng;30 kelereng;32 kelereng;28 kelereng
Berapa hasil dari penjumlahan 15 dan 10?;25;30;20;35;25
Jika setiap buku memiliki 8 halaman dan kamu memiliki 5 buku, berapa jumlah total halaman?;40 halaman;45 halaman;50 halaman;55 halaman;40 halaman
