question;choice1;choice2;choice3;choice4;answer
Jika pesawat kertas terbang selama 10 detik dan melintasi jarak 50 meter, berapa kecepatan rata-rata pesawat kertas dalam m/s?;5 m/s;10 m/s;15 m/s;20 m/s;5 m/s
Dalam suatu kelas, siswa membuat pesawat kertas. Jarak terbang pesawat kertas sebagai berikut: 30 m, 35 m, 30 m, 40 m, 45 m. Berapa modus dari jarak terbang?;30 m;35 m;40 m;45 m;30 m
Sebuah pesawat kertas dibuat dalam bentuk segitiga siku-siku dengan sisi 5 cm dan 12 cm. Berapa panjang hipotenusa pesawat kertas tersebut?;13 cm;15 cm;17 cm;20 cm;13 cm
Jika suatu pesawat kertas memiliki luas sayap 25 cm² dan berhasil terbang 30 meter, berapa luas sayap per meter terbang?;0.83 cm²/m;1.2 cm²/m;0.5 cm²/m;1.5 cm²/m;0.83 cm²/m
Seorang siswa mengamati bahwa semakin berat pesawat kertas, semakin pendek jarak terbangnya. Jika berat pesawat kertas bertambah dari 5 gram menjadi 10 gram dan jarak terbangnya berkurang dari 50 m menjadi 20 m, berapa persentase penurunan jarak terbang?;60%;40%;20%;80%;60%
Sebuah kelas melakukan eksperimen dengan 10 pesawat kertas yang berbeda. Jika rata-rata jarak terbang adalah 25 meter dengan simpangan baku 5 meter, berapa range dari jarak terbang?;15 m;20 m;10 m;25 m;15 m
Jika sebuah pesawat kertas dibuang dari ketinggian 2 meter dan membutuhkan 3 detik untuk mendarat, berapa kecepatan vertikal rata-rata pesawat kertas dalam m/s?;0.67 m/s;1.5 m/s;0.5 m/s;2 m/s;0.67 m/s
Dalam kompetisi pesawat kertas, 25 pesawat kertas diluncurkan dan jarak terbang rata-rata adalah 20 m. Jika salah satu pesawat terbang 30 m, berapa jarak lebih jauh dari rata-rata?;10 m;15 m;5 m;20 m;10 m
Seorang guru mengumpulkan data tentang jumlah lipatan pada pesawat kertas dan jarak terbangnya. Jika jumlah lipatan bertambah, apakah ada pengaruhnya terhadap jarak terbang pesawat?;Menambah jarak terbang;Mengurangi jarak terbang;Tidak ada pengaruh;Data tidak cukup untuk menyimpulkan;Data tidak cukup untuk menyimpulkan
Sebuah pesawat kertas yang dilemparkan dari atas gedung mengalami percepatan 0.1 m/s². Jika pesawat kertas membutuhkan 5 detik untuk mencapai tanah, berapa kecepatan awal lemparan?;0 m/s;0.5 m/s;1 m/s;1.5 m/s;0 m/s
