question;choice1;choice2;choice3;choice4;answer
Apa yang paling terkenal dari planet Saturnus?;Warna hijaunya;Ukuran yang sangat besar;Cincin yang mengelilinginya;Pola awan yang unik;Cincin yang mengelilinginya
Berapa banyak satelit alami yang diketahui mengorbit Saturnus?;82;62;42;22;82
Apa nama satelit terbesar dari Saturnus?;Ganymede;Io;Titania;Titan;Titan
Berapa tahun lamanya satu tahun di Saturnus, yaitu satu orbit lengkap mengelilingi Matahari?;29 tahun Bumi;79 tahun Bumi;109 tahun Bumi;129 tahun Bumi;29 tahun Bumi
Dari apa cincin Saturnus terutama terbentuk?;Gas hidrogen;Batu dan debu;Es dan debu;Metana dan amonia;Es dan debu
Berapa banyak cincin yang diketahui mengelilingi Saturnus?;3;5;7;Lebih dari 30;Lebih dari 30
Apa yang membuat Saturnus unik dibandingkan dengan planet lain dalam hal kepadatan?;Ini adalah planet paling padat;Ini kurang padat daripada air;Ini memiliki kepadatan yang sama dengan Jupiter;Ini adalah planet paling tidak padat;Ini kurang padat daripada air
Siapa yang menemukan Saturnus?;Galileo Galilei;Christiaan Huygens;Johannes Kepler;Isaac Newton;Galileo Galilei
Dalam urutan apa Saturnus berada dari Matahari?;Ke-4;Ke-5;Ke-6;Ke-7;Ke-6
Apa fenomena menarik yang bisa diamati pada Saturnus?;Awan asam sulfat;Gunung berapi es;Badai heksagonal di kutub utara;Hujan berlian;Badai heksagonal di kutub utara
