question;choice1;choice2;choice3;choice4;answer
Bagaimana polusi udara dapat mempengaruhi perubahan iklim?;Mengurangi suhu bumi;Meningkatkan kadar gas rumah kaca;Tidak ada pengaruh;Menurunkan kadar gas rumah kaca;Meningkatkan kadar gas rumah kaca
Apa dampak utama polusi plastik terhadap lingkungan laut?;Meningkatkan populasi ikan;Mengurangi pencemaran;Merusak ekosistem laut;Menurunkan suhu air laut;Merusak ekosistem laut
Bagaimana polusi air dapat mempengaruhi kesehatan manusia?;Menurunkan risiko penyakit;Tidak ada pengaruh;Meningkatkan risiko penyakit;Meningkatkan kualitas air;Meningkatkan risiko penyakit
Apa yang dapat dilakukan untuk mengurangi polusi udara?;Menggunakan kendaraan listrik;Meningkatkan penggunaan bahan bakar fosil;Meningkatkan penggunaan plastik;Membakar sampah secara terbuka;Menggunakan kendaraan listrik
Mengapa polusi udara bisa memperburuk perubahan iklim?;Mengurangi curah hujan;Meningkatkan kadar CO2 di atmosfer;Meningkatkan oksigen di udara;Mengurangi suhu bumi;Meningkatkan kadar CO2 di atmosfer
Apa dampak utama dari polusi plastik di darat?;Meningkatkan kesuburan tanah;Mengurangi kualitas tanah;Menurunkan pencemaran;Meningkatkan produksi tanaman;Mengurangi kualitas tanah
Bagaimana penggunaan energi terbarukan dapat mengurangi polusi udara?;Menghasilkan lebih banyak CO2;Mengurangi emisi gas rumah kaca;Meningkatkan penggunaan bahan bakar fosil;Meningkatkan polusi udara;Mengurangi emisi gas rumah kaca
Mengapa penting untuk mengurangi polusi air?;Untuk meningkatkan populasi ikan;Untuk menjaga kesehatan manusia;Untuk meningkatkan polusi udara;Untuk mengurangi kesuburan tanah;Untuk menjaga kesehatan manusia
Bagaimana sampah plastik mempengaruhi kehidupan laut?;Meningkatkan kualitas air laut;Menurunkan suhu air laut;Merusak kehidupan laut;Meningkatkan populasi ikan;Merusak kehidupan laut
Apa yang dapat dilakukan untuk mengurangi polusi plastik?;Menggunakan tas belanja kain;Meningkatkan penggunaan plastik;Membuang sampah plastik ke laut;Membakar plastik secara terbuka;Menggunakan tas belanja kain
