question;choice1;choice2;choice3;choice4;answer
Seorang pemandu wisata menghasilkan Rp 200.000 per tur dan memberikan 3 tur setiap hari. Berapa total pendapatan per minggu?;Rp 4.200.000;Rp 600.000;Rp 2.100.000;Rp 1.400.000;Rp 4.200.000
Jika peluang turis memilih paket A adalah 0.7 dan paket B adalah 0.3, berapa peluang seorang turis memilih paket A dalam 10 kunjungan?;0.028;0.7;0.3;0.97;0.028
Seorang pemandu wisata membukukan biaya seperti berikut: transportasi Rp 50.000, makan siang Rp 100.000, tiket masuk Rp 150.000. Berapa total biaya yang dicatat?;Rp 300.000;Rp 250.000;Rp 200.000;Rp 150.000;Rp 300.000
Dalam bahasa Inggris, ungkapan 'to cut corners' berarti apa dalam konteks bisnis?;Melakukan sesuatu sebaik mungkin;Mengurangi biaya dengan cara yang tidak etis;Mengambil jalan pintas;Meningkatkan efisiensi;Mengambil jalan pintas
Sebuah perusahaan jasa pemandu wisata memiliki pendapatan yang bervariasi setiap bulan. Jika rata-rata pendapatan bulanan adalah Rp 10.000.000 dengan simpangan baku Rp 2.000.000, berapa varians pendapatannya?;Rp 4.000.000.000;Rp 2.000.000;Rp 10.000.000;Rp 20.000.000;Rp 4.000.000.000
Sebuah ungkapan dalam Bahasa Inggris mengatakan 'The early bird catches the worm'. Apa artinya dalam konteks bekerja lebih awal?;Seseorang yang terlambat akan sukses;Orang yang bangun pagi akan mendapatkan lebih banyak keuntungan;Lebih baik terlambat daripada tidak;Bekerja keras tidak berguna;Orang yang bangun pagi akan mendapatkan lebih banyak keuntungan
Jika suatu bisnis jasa pemandu wisata menargetkan untuk menaikkan pendapatan mereka 10% dari Rp 20.000.000, berapa target pendapatan baru?;Rp 22.000.000;Rp 18.000.000;Rp 20.000.000;Rp 21.000.000;Rp 22.000.000
Dalam statistik, 'median' dari pendapatan 5, 10, 15, 20, 25 adalah berapa?;15;10;20;12.5;15
Distribusi frekuensi pengunjung yang menggunakan jasa pemandu wisata adalah sebagai berikut: 10 orang memilih snorkeling, 15 orang hiking, dan 5 orang city tour. Berapa peluang seorang pengunjung baru memilih snorkeling?;0.25;0.40;0.50;0.33;0.25
Dalam konteks akuntansi, apa yang dimaksud dengan 'assets' dalam bisnis jasa pemandu wisata?;Kewajiban perusahaan;Ekuitas pemilik;Sumber daya yang dimiliki perusahaan;Biaya yang belum dibayar;Sumber daya yang dimiliki perusahaan
