question;choice1;choice2;choice3;choice4;answer
Sebuah layang-layang terbang pada ketinggian 50 meter dan tali yang digunakan terentang sepanjang 60 meter. Jika layang-layang berada secara vertikal di atas titik pemegang tali, berapa jarak horizontal antara pemegang tali dan layang-layang?;10 meter;25 meter;50 meter;40 meter;10 meter
Jika sebuah layang-layang memiliki luas 0.5 m² dan mengalami gaya angkat yang menyebabkan tekanan 2 N/m² pada layang-layang tersebut, berapa besar gaya angkat total?;1 Newton;2 Newton;0.5 Newton;1.5 Newton;1 Newton
Dalam kompetisi layang-layang, 5 peserta meluncurkan layang-layang mereka dan jarak terbangnya adalah: 40 m, 45 m, 40 m, 50 m, 55 m. Berapa modus dari jarak terbang layang-layang?;40 m;45 m;50 m;55 m;40 m
Seorang anak membuat layang-layang berbentuk segitiga sama sisi dengan panjang sisi 1 m. Berapa luas layang-layang tersebut?;0.433 m²;0.5 m²;0.75 m²;0.25 m²;0.433 m²
Jika kecepatan angin meningkat dari 5 m/s menjadi 10 m/s, berapa persentase peningkatan kecepatan angin?;100%;50%;200%;150%;100%
Dalam sebuah festival, pengunjung melaporkan ketinggian terbang layang-layang mereka. Lima laporan adalah: 30 m, 35 m, 40 m, 45 m, dan 30 m. Berapa rata-rata ketinggian terbang layang-layang?;36 m;38 m;40 m;35 m;36 m
Sebuah layang-layang berbentuk layang-layang dengan diagonal mayor 32 cm dan diagonal minor 24 cm. Berapa luas layang-layang tersebut?;384 cm²;192 cm²;768 cm²;576 cm²;384 cm²
Jika 20 peserta festival layang-layang meluncurkan layang-layang mereka dan 5 di antaranya memiliki layang-layang yang terbuat dari bahan yang sama, berapa persentase peserta dengan bahan yang sama?;25%;20%;15%;30%;25%
Sebuah layang-layang memiliki panjang tali 100 meter. Jika sudut elevasi layang-layang dari titik pegangan ke layang-layang adalah 45°, berapa ketinggian layang-layang dari tanah asumsikan tanah datar?;100 m;70.7 m;50 m;85.4 m;70.7 m
Dari data 30 peluncuran layang-layang, ditemukan bahwa ketinggian terbang rata-rata adalah 50 m dengan simpangan baku 10 m. Jika sebuah layang-layang terbang 70 m, berapa deviasi dari mean?;2;1.5;3;2.5;2
