question;choice1;choice2;choice3;choice4;answer
Perubahan iklim disebabkan oleh peningkatan emisi gas rumah kaca. Gas rumah kaca mana yang paling banyak berkontribusi terhadap pemanasan global?;Nitrogen;Oksigen;Karbon dioksida;Helium;Karbon dioksida
Apa dampak utama dari mencairnya es di kutub akibat perubahan iklim?;Penurunan permukaan laut;Kenaikan permukaan laut;Pengurangan biodiversitas;Meningkatnya populasi ikan;Kenaikan permukaan laut
Bagaimana cara penggunaan energi fosil seperti batubara dan minyak bumi mempengaruhi perubahan iklim?;Meningkatkan kualitas udara;Mengurangi emisi gas rumah kaca;Meningkatkan emisi gas rumah kaca;Meningkatkan produksi pangan;Meningkatkan emisi gas rumah kaca
Mengapa deforestasi atau penggundulan hutan memperparah perubahan iklim?;Mengurangi jumlah hewan di hutan;Mengurangi jumlah pohon yang menyerap karbon dioksida;Meningkatkan jumlah sungai;Meningkatkan kelembapan udara;Mengurangi jumlah pohon yang menyerap karbon dioksida
Apa dampak dari perubahan iklim terhadap pola cuaca global?;Cuaca menjadi lebih stabil;Pola cuaca menjadi lebih ekstrem dan tidak terduga;Mengurangi badai dan topan;Meningkatkan kelembapan udara;Pola cuaca menjadi lebih ekstrem dan tidak terduga
Bagaimana cara penanaman pohon membantu mengurangi dampak perubahan iklim?;Mengurangi hujan;Meningkatkan suhu bumi;Meningkatkan penyerapan karbon dioksida;Meningkatkan penggunaan air;Meningkatkan penyerapan karbon dioksida
Apa yang dimaksud dengan jejak karbon (carbon footprint)?;Jumlah karbon dioksida yang dihasilkan oleh individu atau aktivitas;Jumlah karbon dioksida yang diserap oleh hutan;Jumlah karbon dioksida di atmosfer;Jumlah karbon dioksida yang dilepaskan oleh tanaman;Jumlah karbon dioksida yang dihasilkan oleh individu atau aktivitas
Mengapa penting untuk mengurangi penggunaan plastik sekali pakai dalam konteks perubahan iklim?;Plastik sekali pakai meningkatkan hujan;Plastik sekali pakai meningkatkan emisi karbon;Plastik sekali pakai mengurangi produksi makanan;Plastik sekali pakai meningkatkan populasi hewan;Plastik sekali pakai meningkatkan emisi karbon
Apa yang dimaksud dengan adaptasi terhadap perubahan iklim?;Mengabaikan perubahan iklim;Menyesuaikan diri dengan dampak perubahan iklim;Meningkatkan emisi gas rumah kaca;Mengurangi penggunaan energi terbarukan;Menyesuaikan diri dengan dampak perubahan iklim
Bagaimana cara kita dapat mengurangi jejak karbon dalam kehidupan sehari-hari?;Menggunakan kendaraan pribadi lebih sering;Menggunakan transportasi umum, bersepeda, atau berjalan kaki;Mengonsumsi lebih banyak daging;Menggunakan lebih banyak energi listrik;Menggunakan transportasi umum, bersepeda, atau berjalan kaki
