question;choice1;choice2;choice3;choice4;answer
Pabrik mengeluarkan asap; apakah ini pencemaran?;Tidak mungkin;Pasti ya;Kurang jelas;Tidak;Pasti ya
Apakah kendaraan yang mengeluarkan asap membahayakan kesehatan?;Tidak sama sekali;Kemungkinan;Pasti;Bukan faktor;Pasti
Apakah tambang batubara selalu merusak lingkungan?;Pasti;Tidak;Terkadang;Selalu benar;Terkadang
Kendaraan tanpa gas buang, apakah lebih baik?;Tidak lebih baik;Sama saja;Lebih baik;Lebih buruk;Lebih baik
Penambangan emas menyebabkan polusi, benarkah?;Tidak benar;Mungkin;Pasti;Jarang;Pasti
Apakah semua pabrik mencemari lingkungan?;Semua;Sebagian;Tidak;Jarang;Sebagian
Kendaraan bermotor adalah penyebab utama polusi udara, setujukah?;Setuju;Ragu;Tidak setuju;Mungkin;Setuju
Sampah plastik di laut, apakah masalah serius?;Tidak serius;Kurang serius;Sangat serius;Sepele;Sangat serius
Penambangan timah selalu menyebabkan kerusakan alam, benarkah?;Pasti;Tidak;Mungkin;Selalu;Mungkin
Apakah pembangkit listrik batubara baik untuk lingkungan?;Baik;Buruk;Sama saja;Tidak baik;Buruk
Kualitas udara menurun, apakah karena industri?;Kemungkinan;Tidak;Pasti;Bukan industri;Pasti
Apakah penambangan nikel harus ditingkatkan meskipun mencemari?;Tidak boleh;Ditingkatkan;Mungkin;Tetap lanjut;Tidak boleh
Kendaraan listrik, apakah solusi polusi udara?;Solusi terbaik;Bukan solusi;Mungkin;Tidak efektif;Solusi terbaik
Apakah semua tambang merusak lingkungan?;Selalu;Tidak;Mungkin;Jarang;Mungkin
Pembangunan pabrik baru, apakah harus di kota?;Harus di kota;Jangan di kota;Boleh di mana saja;Di luar kota;Jangan di kota
Sampah plastik perlu pengelolaan yang lebih baik, setujukah?;Setuju;Tidak setuju;Ragu-ragu;Mungkin;Setuju
Penggunaan batubara harus dikurangi, benarkah?;Benar;Salah;Tidak perlu;Harus;Benar
Kualitas udara baik, apakah industri berperan?;Tidak berperan;Berperan;Mungkin;Pasti;Berperan
Apakah kendaraan bermotor lama lebih mencemari?;Tidak sama sekali;Pasti;Mungkin;Jarang;Pasti
Penambangan emas harus dihentikan, apakah ini solusi?;Solusi;Bukan solusi;Mungkin;Harus dilanjutkan;Solusi
