question;choice1;choice2;choice3;choice4;answer
Bagaimana perubahan iklim dapat mempengaruhi produksi pangan?;Meningkatkan produksi pangan;Tidak ada perubahan;Mengurangi produksi pangan;Menurunkan biaya produksi;Mengurangi produksi pangan
Mengapa perubahan iklim dapat menyebabkan kelangkaan pangan?;Mengurangi curah hujan;Mengurangi lahan pertanian;Meningkatkan suhu bumi;Semua jawaban benar;Semua jawaban benar
Bagaimana pola cuaca ekstrem akibat perubahan iklim mempengaruhi tanaman pangan?;Meningkatkan kesuburan tanah;Merusak tanaman pangan;Menurunkan kebutuhan air;Mempercepat pertumbuhan tanaman;Merusak tanaman pangan
Apa dampak kekeringan panjang pada produksi pertanian?;Meningkatkan hasil panen;Tidak ada dampak;Mengurangi hasil panen;Meningkatkan kualitas tanaman;Mengurangi hasil panen
Mengapa petani harus beradaptasi dengan perubahan iklim?;Untuk meningkatkan biaya produksi;Untuk mengurangi hasil panen;Untuk tetap bisa bertani;Untuk mengurangi lahan pertanian;Untuk tetap bisa bertani
Bagaimana perubahan iklim dapat mempengaruhi ketahanan pangan?;Menurunkan ketahanan pangan;Meningkatkan ketahanan pangan;Tidak ada perubahan;Mengurangi kebutuhan pangan;Menurunkan ketahanan pangan
Apa yang dapat dilakukan untuk menjaga produksi pangan di tengah perubahan iklim?;Menggunakan teknik pertanian modern;Mengurangi lahan pertanian;Mengurangi curah hujan;Meningkatkan penggunaan pestisida;Menggunakan teknik pertanian modern
Bagaimana perubahan iklim mempengaruhi harga bahan pangan?;Menurunkan harga pangan;Tidak ada perubahan;Meningkatkan harga pangan;Meningkatkan produksi pangan;Meningkatkan harga pangan
Mengapa penting untuk mengurangi emisi gas rumah kaca dalam konteks produksi pangan?;Untuk meningkatkan produksi pangan;Untuk menjaga lingkungan;Untuk mengurangi biaya produksi;Untuk meningkatkan lahan pertanian;Untuk menjaga lingkungan
Bagaimana perubahan iklim dapat mempengaruhi kualitas hasil pertanian?;Meningkatkan kualitas hasil;Mengurangi kualitas hasil;Tidak ada perubahan;Meningkatkan kuantitas hasil;Mengurangi kualitas hasil
