question;choice1;choice2;choice3;choice4;answer
Sebuah taman berbentuk persegi panjang dengan panjang 10 meter dan lebar 5 meter. Berapa luas taman tersebut?;50 m^2;40 m^2;60 m^2;70 m^2;50 m^2
Sebuah segitiga memiliki panjang sisi 3 cm, 4 cm, dan 5 cm. Berapa keliling segitiga tersebut?;9 cm;12 cm;11 cm;10 cm;12 cm
Jika sebuah lingkaran memiliki diameter 14 cm, berapa jari-jari lingkaran tersebut?;7 cm;14 cm;28 cm;10 cm;7 cm
Sebuah ruangan berbentuk kubus dengan panjang sisi 4 meter. Berapa volume ruangan tersebut?;64 m^3;32 m^3;16 m^3;48 m^3;64 m^3
Sebuah sudut siku-siku memiliki besar sudut berapa derajat?;45°;90°;180°;360°;90°
Jika sebuah segitiga sama kaki memiliki panjang sisi sama 8 cm dan alas 6 cm, berapa kelilingnya?;20 cm;22 cm;24 cm;26 cm;22 cm
Sebuah persegi memiliki panjang sisi 5 cm. Berapa keliling persegi tersebut?;20 cm;15 cm;25 cm;30 cm;20 cm
Jika panjang diagonal sebuah persegi adalah 10 cm, berapa panjang sisi persegi tersebut?;5√2 cm;10 cm;5 cm;10√2 cm;5√2 cm
Jika luas sebuah lingkaran adalah 78.5 cm^2, berapa jari-jarinya (gunakan π = 3.14)?;5 cm;10 cm;7 cm;14 cm;5 cm
Jika tinggi sebuah segitiga adalah 6 cm dan alasnya 4 cm, berapa luas segitiga tersebut?;12 cm^2;24 cm^2;18 cm^2;15 cm^2;12 cm^2
Sebuah kolam berbentuk lingkaran dengan jari-jari 7 meter. Berapa keliling kolam tersebut (gunakan π = 3.14)?;43.96 m;21.98 m;87.92 m;27.96 m;43.96 m
Jika panjang sisi sebuah segitiga sama sisi adalah 6 cm, berapa luasnya?;9√3 cm^2;18 cm^2;9 cm^2;6√3 cm^2;9√3 cm^2
Sebuah taman berbentuk persegi dengan luas 100 m^2. Berapa panjang sisi taman tersebut?;10 m;15 m;12 m;20 m;10 m
Jika sebuah sudut tumpul memiliki besar sudut berapa derajat?;45°;90°;120°;60°;120°
Sebuah ruangan berbentuk balok dengan panjang 5 m, lebar 3 m, dan tinggi 4 m. Berapa volumenya?;60 m^3;40 m^3;50 m^3;30 m^3;60 m^3
Sebuah segitiga siku-siku dengan panjang kaki-kakinya 6 cm dan 8 cm. Berapa panjang hipotenusanya?;10 cm;8 cm;12 cm;14 cm;10 cm
Jika panjang sisi sebuah persegi panjang adalah 8 cm dan lebarnya 4 cm, berapa kelilingnya?;24 cm;20 cm;30 cm;32 cm;24 cm
Sebuah lingkaran memiliki keliling 31.4 cm. Berapa jari-jarinya (gunakan π = 3.14)?;5 cm;10 cm;15 cm;20 cm;5 cm
Jika panjang diagonal sebuah belah ketupat adalah 8 cm dan 6 cm, berapa luasnya?;24 cm^2;48 cm^2;30 cm^2;36 cm^2;24 cm^2
Sebuah segitiga sama sisi memiliki panjang sisi 9 cm. Berapa keliling segitiga tersebut?;18 cm;27 cm;36 cm;45 cm;27 cm
