question;choice1;choice2;choice3;choice4;answer
Apa tema utama dari buku 'The Selfish Gene'?;Evolusi melalui seleksi alam;Konflik dan kerjasama dalam biologi;Gen sebagai unit seleksi utama;Peranan lingkungan dalam evolusi;Gen sebagai unit seleksi utama
Siapa yang menulis 'The Selfish Gene'?;Stephen Hawking;Carl Sagan;Charles Darwin;Richard Dawkins;Richard Dawkins
Apa yang dikemukakan Richard Dawkins tentang perilaku altruistik dalam buku ini?;Merupakan trik untuk bertahan hidup;Terjadi karena manipulasi gen;Altruisme sebenarnya adalah tindakan egois dari gen;Altruisme adalah kesalahan dalam evolusi;Altruisme sebenarnya adalah tindakan egois dari gen
Bagaimana 'The Selfish Gene' mengubah pemahaman kita tentang proses seleksi?;Memfokuskan pada individu sebagai agen utama evolusi;Menekankan bahwa evolusi adalah proses tanpa arah dan acak;Memperkenalkan konsep gen sebagai agen utama seleksi;Menolak teori seleksi alam;Memperkenalkan konsep gen sebagai agen utama seleksi
Menurut Dawkins, bagaimana gen mempengaruhi perilaku organisme?;Gen menentukan perilaku secara langsung;Gen memberikan kecenderungan perilaku yang dapat menguntungkan mereka;Gen tidak berpengaruh terhadap perilaku;Gen bekerja sama untuk menciptakan perilaku kompleks;Gen memberikan kecenderungan perilaku yang dapat menguntungkan mereka
Konsep mana yang dikembangkan Dawkins yang menggambarkan ide atau informasi yang menyebar dari satu otak ke otak lain?;Mimikri;Simbiogenesis;Meme;Fenotip;Meme
Buku 'The Selfish Gene' pertama kali diterbitkan pada tahun berapa?;1976;1982;1969;1990;1976
Apa peran meme menurut 'The Selfish Gene'?;Membentuk interaksi sosial;Mengubah proses evolusi genetik;Sebagai unit dasar evolusi budaya;Tidak penting dalam teori evolusi;Sebagai unit dasar evolusi budaya
Bagaimana 'The Selfish Gene' menjelaskan fenomena pelestarian diri?;Sebagai upaya untuk melindungi spesies;Gen bertindak untuk memaksimalkan kelangsungan hidupnya;Organisme berusaha untuk memaksimalkan reproduksi;Adalah hasil dari proses evolusi yang panjang;Gen bertindak untuk memaksimalkan kelangsungan hidupnya
Apa pengaruh 'The Selfish Gene' terhadap studi perilaku hewan?;Memperkenalkan etologi sebagai ilmu;Menunjukkan bahwa perilaku bisa berbasis genetis;Menolak semua teori sebelumnya tentang perilaku hewan;Menekankan bahwa perilaku hewan sepenuhnya acak;Menunjukkan bahwa perilaku bisa berbasis genetis
