question;choice1;choice2;choice3;choice4;answer
Pak Budi mengukur suhu setiap hari selama gelombang panas. Jika suhu tertinggi di hari pertama adalah 37°C dan hanya bilangan ganjil, berapa suhu tertinggi di hari ketujuh?;45°C;47°C;49°C;51°C;49°C
Pak Andi mengonversi suhu dari Celsius ke biner. Jika suhu hari ini adalah 36°C, berapa suhu tersebut dalam biner?;100100;101100;110000;110100;100100
Pak Tono menggunakan bilangan romawi untuk mencatat suhu harian. Jika suhu hari ini adalah 42°C, bagaimana suhu tersebut ditulis dalam bilangan romawi?;XLII;LII;LXII;LXXII;XLII
Pak Udin ingin mengetahui FPB dari suhu harian 24°C dan 36°C. Berapa FPB dari suhu tersebut?;6;8;12;18;12
Pak Harun menghitung KPK dari dua hari suhu tertinggi 15°C dan 20°C. Berapa KPK dari suhu tersebut?;30;40;60;80;60
Pak Rudi mencatat suhu setiap dua hari dengan pola bilangan prima. Jika hari pertama 29°C, berapa suhu pada hari ketiga?;31°C;37°C;41°C;43°C;37°C
Pak Joko mengonversi suhu dari Celsius ke biner. Jika suhu hari ini adalah 25°C, berapa suhu tersebut dalam biner?;11001;11010;11011;11101;11001
Pak Anto menggunakan bilangan romawi untuk mencatat suhu harian. Jika suhu hari ini adalah 39°C, bagaimana suhu tersebut ditulis dalam bilangan romawi?;XXXV;XXXIX;XL;XLII;XXXIX
Pak Doni ingin mengetahui FPB dari suhu harian 30°C dan 45°C. Berapa FPB dari suhu tersebut?;5;10;15;20;15
Pak Sardi menghitung KPK dari dua hari suhu tertinggi 18°C dan 24°C. Berapa KPK dari suhu tersebut?;36;48;54;72;72
Pak Ahmad mencatat suhu setiap dua hari dengan pola bilangan prima. Jika hari pertama 31°C, berapa suhu pada hari kelima?;41°C;43°C;47°C;53°C;47°C
Pak Rahmat mengonversi suhu dari Celsius ke biner. Jika suhu hari ini adalah 27°C, berapa suhu tersebut dalam biner?;11011;11100;11101;11110;11011
Pak Arif menggunakan bilangan romawi untuk mencatat suhu harian. Jika suhu hari ini adalah 45°C, bagaimana suhu tersebut ditulis dalam bilangan romawi?;XL;XLI;XLV;L;XLV
Pak Yanto ingin mengetahui FPB dari suhu harian 32°C dan 40°C. Berapa FPB dari suhu tersebut?;4;8;10;16;8
Pak Fajar menghitung KPK dari dua hari suhu tertinggi 12°C dan 30°C. Berapa KPK dari suhu tersebut?;36;48;60;72;60
Pak Hari mencatat suhu setiap dua hari dengan pola bilangan prima. Jika hari pertama 23°C, berapa suhu pada hari ketujuh?;37°C;41°C;43°C;47°C;43°C
Pak Yono mengonversi suhu dari Celsius ke biner. Jika suhu hari ini adalah 19°C, berapa suhu tersebut dalam biner?;10001;10010;10011;10100;10011
Pak Surya menggunakan bilangan romawi untuk mencatat suhu harian. Jika suhu hari ini adalah 33°C, bagaimana suhu tersebut ditulis dalam bilangan romawi?;XXXIII;XXXIV;XXXV;XXXVI;XXXIII
Pak Kadir ingin mengetahui FPB dari suhu harian 28°C dan 36°C. Berapa FPB dari suhu tersebut?;4;6;8;12;4
Pak Bambang menghitung KPK dari dua hari suhu tertinggi 16°C dan 24°C. Berapa KPK dari suhu tersebut?;32;48;64;72;48
