question;choice1;choice2;choice3;choice4;answer
Siapa tokoh utama dalam novel 'Arok Dedes'?;Ken Arok;Ken Dedes;Tunggul Ametung;Empu Gandring;Ken Arok
Apa latar belakang utama dalam novel 'Arok Dedes' yang dikisahkan oleh Pramoedya Ananta Toer?;Perjuangan kemerdekaan Indonesia;Perebutan kekuasaan di kerajaan Singhasari;Kehidupan masyarakat Bali kuno;Perdagangan di era Majapahit;Perebutan kekuasaan di kerajaan Singhasari
Apa tema utama yang diangkat dalam 'Arok Dedes'?;Cinta dan pengkhianatan;Ambisi dan kekuasaan;Pendidikan dan pembelajaran;Religi dan kepercayaan;Ambisi dan kekuasaan
Bagaimana karakter Ken Arok digambarkan dalam novel tersebut?;Pemalu dan pendiam;Ambisius dan cerdik;Altruistik dan dermawan;Pengecut dan tidak tegas;Ambisius dan cerdik
Siapa yang menjadi sumber inspirasi Ken Arok untuk naik ke puncak kekuasaan dalam cerita?;Ken Dedes;Empu Gandring;Tunggul Ametung;Anusapati;Empu Gandring
Apa simbolisme yang digunakan dalam 'Arok Dedes' untuk menunjukkan ambisi?;Pedang;Keris;Mahkota;Peta;Keris
Bagaimana akhir cerita Ken Arok dalam novel 'Arok Dedes'?;Dia menjadi raja yang bijaksana;Dia terbunuh karena pengkhianatan;Dia menikah dengan Ken Dedes dan hidup bahagia;Dia meninggalkan kerajaan untuk menjadi pertapa;Dia terbunuh karena pengkhianatan
Apa pengaruh Ken Dedes terhadap plot cerita dalam novel?;Dia adalah alasan Ken Arok merebut kekuasaan;Dia membantu Ken Arok dalam peperangan;Dia berkhianat terhadap Ken Arok;Dia adalah narator cerita;Dia adalah alasan Ken Arok merebut kekuasaan
Novel ini banyak menggambarkan kondisi sosial masyarakat pada masa itu. Bagaimana kondisi tersebut digambarkan?;Damai dan harmonis;Konflik dan ketidakadilan;Kemakmuran dan kemajuan;Kekurangan dan kelaparan;Konflik dan ketidakadilan
Apa pesan moral yang bisa diambil dari perjalanan hidup Ken Arok dalam 'Arok Dedes'?;Kekuasaan dapat mengkorupsi;Kesetiaan adalah kunci keberhasilan;Cinta mengatasi segalanya;Pengetahuan adalah kekuatan;Kekuasaan dapat mengkorupsi
