question;choice1;choice2;choice3;choice4;answer
Sebuah keluarga memiliki pendapatan bulanan Rp 10.000.000. Jika 30% pendapatan digunakan untuk biaya rumah dan 20% untuk kebutuhan makanan, berapa jumlah uang yang digunakan untuk kedua kategori tersebut?;Rp 5.000.000;Rp 3.000.000;Rp 4.000.000;Rp 2.500.000;Rp 5.000.000
Jika keluarga tersebut ingin menabung 10% pendapatannya setiap bulan, berapa banyak yang harus mereka tabung setahun?;Rp 12.000.000;Rp 6.000.000;Rp 1.200.000;Rp 10.000.000;Rp 12.000.000
Dalam manajemen anggaran, suatu keluarga mengalokasikan biaya pendidikan sebesar Rp 1.500.000 pendapatan totalnya yang berjumlah Rp 10.000.000. Berapa persentase alokasi untuk pendidikan?;15%;10%;5%;20%;15%
Sebuah keluarga memiliki total pengeluaran tahunan Rp 120.000.000. Jika mereka menerima bonus tahunan sebesar Rp 20.000.000, berapa total pendapatan tahunan mereka agar bisa menutupi semua pengeluaran?;Rp 140.000.000;Rp 100.000.000;Rp 120.000.000;Rp 160.000.000;Rp 140.000.000
Sebuah keluarga membeli rumah seharga Rp 500.000.000 dengan uang muka 20%. Berapa jumlah uang muka yang harus dibayarkan?;Rp 100.000.000;Rp 50.000.000;Rp 200.000.000;Rp 150.000.000;Rp 100.000.000
Jika peluang sebuah keluarga memiliki pengeluaran tak terduga adalah 0.2 setiap bulan, berapa peluang mereka tidak mengalami pengeluaran tak terduga selama setahun?;0.028;0.074;0.01;0.15;0.028
Sebuah keluarga berencana untuk membeli mobil baru dengan cicilan Rp 7.000.000 per bulan selama 5 tahun. Berapa total biaya mobil tersebut?;Rp 420.000.000;Rp 380.000.000;Rp 350.000.000;Rp 400.000.000;Rp 420.000.000
Dalam sebuah kelas, 30 siswa melakukan survei tentang pengelolaan keuangan keluarga. Jika 18 mereka mengatakan keluarganya sering memiliki pengeluaran tak terduga, berapa persentase siswa yang melaporkan hal ini?;60%;40%;50%;70%;60%
Seorang ibu rumah tangga mencatat pengeluaran makanan setiap bulan dan mendapatkan data berikut: Rp 2.000.000, Rp 1.800.000, Rp 2.100.000, Rp 2.000.000, Rp 1.900.000. Berapa median pengeluaran bulanan?;Rp 2.000.000;Rp 1.900.000;Rp 2.100.000;Rp 1.800.000;Rp 2.000.000
Jika sebuah keluarga menghabiskan 25% pendapatannya untuk makanan dan 15% untuk transportasi, berapa persentase pendapatan yang tersisa untuk pengeluaran lainnya?;60%;50%;40%;70%;60%
