question;choice1;choice2;choice3;choice4;answer
Sebuah bola sepak ditendang dengan kecepatan awal 20 m/s dan sudut elevasi 30°. Berapa jarak horizontal maksimal yang dapat dicapai bola? (Gunakan g = 10 m/s²);40 meter;20 meter;60 meter;80 meter;40 meter
Jika sebuah tim sepakbola mencetak rata-rata 1,5 gol per pertandingan dan bermain 10 pertandingan, berapa total gol yang diharapkan?;15 gol;10 gol;20 gol;12 gol;15 gol
Dalam sebuah turnamen, tim A memiliki probabilitas 60% untuk menang melawan tim B. Jika mereka bermain tiga kali, berapa probabilitas tim A menang semua pertandingan?;21.6%;36%;18%;10.8%;21.6%
Sebuah bola sepak yang memiliki massa 450 gram ditendang sehingga menghasilkan gaya sebesar 900 N. Berapa percepatan bola? (Asumsikan tidak ada gesekan udara);2000 m/s²;1500 m/s²;1800 m/s²;1200 m/s²;2000 m/s²
Tim sepakbola mencetak 16 gol dalam 4 pertandingan. Berapa rata-rata gol per pertandingan?;4 gol;3 gol;5 gol;6 gol;4 gol
Sebuah bola sepak ditendang dengan sudut 45° dan kecepatan awal 30 m/s. Berapa ketinggian maksimum yang dicapai oleh bola? (Gunakan g = 10 m/s²);22.5 meter;45 meter;30 meter;15 meter;22.5 meter
Dalam turnamen sepakbola, ada 20 tim dan setiap tim bermain satu kali dengan setiap tim lain. Berapa total pertandingan yang dimainkan?;190 pertandingan;200 pertandingan;180 pertandingan;210 pertandingan;190 pertandingan
Dari data 100 penendang, 30% gagal mencetak gol dari titik penalti. Berapa banyak penendang yang berhasil mencetak gol?;70 penendang;60 penendang;80 penendang;50 penendang;70 penendang
Seorang pemain sepakbola berlari dengan kecepatan konstan 8 m/s selama 90 menit. Berapa jarak total yang ditempuh oleh pemain?;43.2 km;32.4 km;21.6 km;54 km;43.2 km
Dalam sebuah pertandingan, probabilitas seorang penjaga gawang menangkap bola adalah 0.75. Jika ada 12 tembakan ke gawang, berapa jumlah tembakan yang diharapkan dapat ditangkap oleh penjaga gawang?;9 tembakan;8 tembakan;10 tembakan;7 tembakan;9 tembakan
