question;choice1;choice2;choice3;choice4;answer
Seorang murid sedang menghitung jumlah total pasir dalam sebuah jam pasir. Pilih kalimat yang tepat dalam Bahasa Inggris.;He counts the grains of sand.;He is counting the grains of sand.;He counted the grains of sand.;He has counted the grains of sand.;He is counting the grains of sand.
Ketika mengamati lintasan planet, seorang astronom menyatakan bahwa ia telah merekam data selama satu tahun. Manakah pernyataan yang benar dalam Bahasa Inggris?;He has been recording the data for one year.;He recorded the data for one year.;He was recording the data for one year.;He is recording the data for one year.;He has been recording the data for one year.
Dalam percobaan kimia, larutan berubah warna. Bagaimana Anda menyatakan ini dalam kalimat Bahasa Inggris yang tepat?;The solution changes color.;The solution changed color.;The solution is changing color.;The solution has changed color.;The solution is changing color.
Seorang guru biologi menjelaskan tentang fotosintesis. Kalimat mana yang benar?;She explains photosynthesis.;She explained photosynthesis.;She is explaining photosynthesis.;She has explained photosynthesis.;She is explaining photosynthesis.
Dalam diskusi ekonomi, seorang siswa berbicara tentang teori Keynes. Pilihan manakah yang tepat untuk menggambarkan aksinya?;He discusses Keynes' theory.;He discussed Keynes' theory.;He is discussing Keynes' theory.;He has discussed Keynes' theory.;He is discussing Keynes' theory.
Seorang siswa membaca 'War and Peace' oleh Leo Tolstoy untuk kelas sastra. Kalimat mana yang menggambarkan situasinya dengan benar?;He reads 'War and Peace'.;He is reading 'War and Peace'.;He read 'War and Peace'.;He has read 'War and Peace'.;He is reading 'War and Peace'.
Seorang siswa menyelesaikan persamaan matematika di papan tulis. Pilihan kalimat mana yang benar?;He solves the equation.;He solved the equation.;He is solving the equation.;He has solved the equation.;He is solving the equation.
Setelah melakukan eksperimen fisika, seorang siswa menulis hasilnya. Kalimat mana yang benar?;He writes the results.;He wrote the results.;He is writing the results.;He has written the results.;He is writing the results.
Seorang ekonom sedang memprediksi tren pasar masa depan. Pernyataan mana yang benar?;He predicts the market trends.;He predicted the market trends.;He is predicting the market trends.;He has predicted the market trends.;He is predicting the market trends.
Setelah mengamati bintang jatuh, seorang astronom menulis laporannya. Kalimat yang benar adalah:;He writes the report.;He wrote the report.;He is writing the report.;He has written the report.;He is writing the report.
