question;choice1;choice2;choice3;choice4;answer
Apa angka Romawi untuk angka 1?;V;X;I;L;I
Apa angka Romawi untuk angka 5?;V;II;X;L;V
Apa angka Romawi untuk angka 10?;X;V;L;C;X
Apa angka Romawi untuk angka 50?;L;X;V;C;L
Apa angka Romawi untuk angka 100?;C;D;M;L;C
Jika angka Romawi V mewakili 5 dan X mewakili 10, berapa nilai dari IX?;4;14;9;11;9
Apa angka Romawi untuk angka 500?;D;M;C;L;D
Apa angka Romawi untuk angka 1000?;M;D;C;L;M
Apa angka Romawi untuk angka 20?;XX;XL;CC;LL;XX
Bagaimana cara menulis angka 4 dalam angka Romawi?;IV;IIII;VI;IIV;IV
