question;choice1;choice2;choice3;choice4;answer
Jika sebuah buku sejarah memiliki 300 halaman dan setiap bab mengalami peningkatan halaman sebanyak 5 halaman dari bab sebelumnya dimulai dari 10 halaman, berapa halaman bab terakhir?;25 halaman;30 halaman;35 halaman;40 halaman;35 halaman
Tahun berdirinya kota Roma ditulis dalam bilangan Romawi sebagai 'DCCLIII'. Apa artinya dalam angka Arab?;753;675;735;857;753
Jika seorang peneliti menemukan sebuah artefak dari abad ke-5 dan abad ke-7, berapa jumlah total artefak yang ditemukan jika setiap abad bertambah 3 artefak dari sebelumnya, dimulai dari 2 artefak di abad ke-5?;11 artefak;8 artefak;10 artefak;5 artefak;11 artefak
Berapa banyak bilangan prima yang ditemukan antara tahun 1 hingga 100 dalam sejarah peradaban manusia?;25;24;23;26;25
Jika sebuah peradaban mengalami pertumbuhan populasi dengan rasio pertumbuhan tahunan tetap sebesar 2%, berapa kali lipat populasi akan bertumbuh dalam 100 tahun jika pertumbuhan ini merupakan deret geometri?;7 kali lipat;5 kali lipat;6 kali lipat;8 kali lipat;7 kali lipat
Berapa jumlah total populasi peradaban tersebut setelah 100 tahun jika populasi awal adalah 1000?;7000;5000;8000;6000;7000
Dalam sejarah, sebuah peradaban mengalami peningkatan jumlah kota dari 2 menjadi 50 dalam 100 tahun. Jika jumlah kota tumbuh secara linier, berapa banyak kota yang telah ditambahkan setiap tahunnya?;0.48 kota;0.5 kota;0.58 kota;0.68 kota;0.48 kota
Jika seseorang membuat kronologi peristiwa dari tahun 1000 hingga 2000 dengan menandai setiap tahun yang bernomor bilangan prima, berapa banyak tanda yang akan dibuat?;135;143;149;153;135
Bagaimana bilangan tahun 1776 ditulis dalam bilangan Romawi?;MDCCLXXVI;MDCCCLXVII;MDCLXXVI;MDCCLXVII;MDCCLXXVI
Jika sebuah peradaban meningkatkan produksi logamnya setiap tahun sebanyak 10% dari produksi tahun sebelumnya, berapa jumlah produksi setelah 10 tahun jika awalnya adalah 100 ton?;259 ton;235 ton;210 ton;200 ton;259 ton
