question;choice1;choice2;choice3;choice4;answer
Siapakah tokoh utama dalam novel 'Ronggeng Dukuh Paruk'?;Srintil;Rasus;Bagus;Samin;Srintil
Apa peran utama Srintil dalam masyarakat Dukuh Paruk?;Seorang ronggeng;Seorang guru;Seorang dukun;Seorang petani;Seorang ronggeng
Bagaimana novel 'Ronggeng Dukuh Paruk' menggambarkan kehidupan masyarakat desa?;Romantis dan bahagia;Miskin dan tertindas;Kaya dan makmur;Modern dan maju;Miskin dan tertindas
Tema apa yang dominan dalam novel 'Ronggeng Dukuh Paruk'?;Cinta dan pengkhianatan;Pendidikan dan pengetahuan;Kekuasaan dan politik;Seni dan budaya;Cinta dan pengkhianatan
Apa konflik utama yang dihadapi oleh Srintil dalam novel tersebut?;Konflik dengan alam;Konflik dengan masyarakat;Konflik dengan diri sendiri;Konflik dengan keluarga;Konflik dengan masyarakat
Bagaimana akhir cerita Srintil dalam novel tersebut?;Menikah dan bahagia;Tetap menjadi ronggeng;Meninggal muda;Melarikan diri dari desa;Tetap menjadi ronggeng
Apa pengaruh Rasus terhadap kehidupan Srintil dalam novel?;Menginspirasi Srintil untuk berubah;Menyebabkan Srintil mendapat masalah;Membantu Srintil melarikan diri;Menjadi lawan bicara Srintil;Menginspirasi Srintil untuk berubah
Simbolisme apa yang digunakan dalam novel untuk menggambarkan kebebasan?;Sungai;Ronggeng;Pohon beringin;Gunung;Ronggeng
Bagaimana pengaruh setting desa dalam pengembangan plot novel?;Menekankan pada kemiskinan;Menunjukkan isolasi;Menciptakan suasana bahagia;Menggambarkan kemajuan teknologi;Menekankan pada kemiskinan
Apa peran masyarakat Dukuh Paruk dalam perkembangan karakter Srintil?;Mendukung ambisinya;Menolak perubahan yang dia bawa;Memberinya kekuatan untuk bertahan;Memisahkannya dari Rasus;Menolak perubahan yang dia bawa
