question;choice1;choice2;choice3;choice4;answer
Ani membeli 3 kg apel dan 2 kg jeruk seharga Rp70.000. Jika 1 kg apel Rp15.000, berapa harga 1 kg jeruk?;Rp10.000;Rp15.000;Rp20.000;Rp5.000;Rp5.000
Budi membeli 2 kg beras dan 3 kg gula seharga Rp55.000. Jika 1 kg beras Rp8.000, berapa harga 1 kg gula?;Rp8.000;Rp10.000;Rp12.000;Rp15.000;Rp10.000
Cici membeli 5 kg mangga dan 2 kg anggur seharga Rp90.000. Jika 1 kg mangga Rp12.000, berapa harga 1 kg anggur?;Rp10.000;Rp8.000;Rp6.000;Rp5.000;Rp5.000
Dedi membeli 2 kg tomat dan 3 kg cabai seharga Rp70.000. Jika 1 kg tomat Rp10.000, berapa harga 1 kg cabai?;Rp15.000;Rp20.000;Rp25.000;Rp10.000;Rp15.000
Eka membeli 4 kg bawang dan 2 kg kentang seharga Rp80.000. Jika 1 kg bawang Rp12.000, berapa harga 1 kg kentang?;Rp12.000;Rp14.000;Rp16.000;Rp10.000;Rp10.000
Fina membeli 3 kg wortel dan 1 kg buncis seharga Rp40.000. Jika 1 kg wortel Rp10.000, berapa harga 1 kg buncis?;Rp10.000;Rp8.000;Rp6.000;Rp4.000;Rp10.000
Gina membeli 2 kg apel dan 4 kg jeruk seharga Rp80.000. Jika 1 kg apel Rp12.000, berapa harga 1 kg jeruk?;Rp8.000;Rp10.000;Rp12.000;Rp14.000;Rp8.000
Hana membeli 3 kg beras dan 1 kg gula seharga Rp50.000. Jika 1 kg beras Rp12.000, berapa harga 1 kg gula?;Rp8.000;Rp10.000;Rp12.000;Rp14.000;Rp14.000
Ina membeli 1 kg mangga dan 3 kg anggur seharga Rp60.000. Jika 1 kg mangga Rp20.000, berapa harga 1 kg anggur?;Rp8.000;Rp10.000;Rp12.000;Rp14.000;Rp10.000
Jaka membeli 2 kg tomat dan 4 kg cabai seharga Rp90.000. Jika 1 kg tomat Rp10.000, berapa harga 1 kg cabai?;Rp15.000;Rp20.000;Rp25.000;Rp10.000;Rp15.000
Kiki membeli 3 kg bawang dan 2 kg kentang seharga Rp70.000. Jika 1 kg bawang Rp10.000, berapa harga 1 kg kentang?;Rp15.000;Rp10.000;Rp12.000;Rp8.000;Rp12.000
Lina membeli 4 kg wortel dan 1 kg buncis seharga Rp50.000. Jika 1 kg wortel Rp10.000, berapa harga 1 kg buncis?;Rp10.000;Rp8.000;Rp6.000;Rp4.000;Rp10.000
Maya membeli 2 kg apel dan 3 kg jeruk seharga Rp70.000. Jika 1 kg apel Rp12.000, berapa harga 1 kg jeruk?;Rp10.000;Rp8.000;Rp12.000;Rp14.000;Rp10.000
Nina membeli 3 kg beras dan 2 kg gula seharga Rp60.000. Jika 1 kg beras Rp12.000, berapa harga 1 kg gula?;Rp8.000;Rp10.000;Rp12.000;Rp14.000;Rp10.000
Oni membeli 1 kg mangga dan 2 kg anggur seharga Rp40.000. Jika 1 kg mangga Rp15.000, berapa harga 1 kg anggur?;Rp5.000;Rp8.000;Rp10.000;Rp12.000;Rp5.000
Pita membeli 2 kg tomat dan 3 kg cabai seharga Rp70.000. Jika 1 kg tomat Rp12.000, berapa harga 1 kg cabai?;Rp15.000;Rp10.000;Rp12.000;Rp8.000;Rp12.000
Rita membeli 3 kg bawang dan 1 kg kentang seharga Rp50.000. Jika 1 kg bawang Rp10.000, berapa harga 1 kg kentang?;Rp10.000;Rp12.000;Rp15.000;Rp8.000;Rp10.000
Sita membeli 2 kg wortel dan 4 kg buncis seharga Rp60.000. Jika 1 kg wortel Rp10.000, berapa harga 1 kg buncis?;Rp10.000;Rp8.000;Rp6.000;Rp4.000;Rp6.000
Tina membeli 3 kg apel dan 2 kg jeruk seharga Rp70.000. Jika 1 kg apel Rp10.000, berapa harga 1 kg jeruk?;Rp10.000;Rp12.000;Rp8.000;Rp6.000;Rp6.000
Uli membeli 4 kg beras dan 1 kg gula seharga Rp60.000. Jika 1 kg beras Rp10.000, berapa harga 1 kg gula?;Rp15.000;Rp10.000;Rp8.000;Rp12.000;Rp10.000
