question;choice1;choice2;choice3;choice4;answer
Bagaimana perubahan iklim dapat mempengaruhi pola curah hujan?;Mengurangi curah hujan;Meningkatkan curah hujan;Membuat curah hujan tidak menentu;Tidak ada perubahan;Membuat curah hujan tidak menentu
Apa yang menjadi penyebab utama perubahan iklim?;Aktivitas gunung berapi;Aktivitas manusia;Perubahan orbit bumi;Kegiatan matahari;Aktivitas manusia
Bagaimana es kutub yang mencair mempengaruhi permukaan laut?;Menurunkan permukaan laut;Tidak ada perubahan;Menaikkan permukaan laut;Menurunkan suhu laut;Menaikkan permukaan laut
Mengapa hutan penting dalam mitigasi perubahan iklim?;Menyerap CO2;Mengurangi suhu udara;Meningkatkan curah hujan;Menurunkan permukaan laut;Menyerap CO2
Apa dampak perubahan iklim terhadap keanekaragaman hayati?;Meningkatkan jumlah spesies;Mengurangi keanekaragaman hayati;Tidak ada perubahan;Menurunkan suhu bumi;Mengurangi keanekaragaman hayati
Bagaimana penggunaan energi fosil mempengaruhi perubahan iklim?;Menurunkan suhu bumi;Menaikkan kadar CO2 di atmosfer;Tidak ada pengaruh;Mengurangi polusi;Menaikkan kadar CO2 di atmosfer
Apa yang dapat dilakukan untuk mengurangi dampak perubahan iklim?;Meningkatkan penggunaan bahan bakar fosil;Meningkatkan penebangan hutan;Mengurangi emisi gas rumah kaca;Meningkatkan konsumsi daging;Mengurangi emisi gas rumah kaca
Bagaimana perubahan iklim mempengaruhi pola musim tanam?;Tidak ada perubahan;Menjadikan musim tanam lebih panjang;Menyebabkan ketidakpastian musim tanam;Mengurangi produksi pangan;Menyebabkan ketidakpastian musim tanam
Apa yang dimaksud dengan efek rumah kaca?;Panas matahari terperangkap di atmosfer;Sinar matahari memantul kembali ke luar angkasa;Bumi menyerap lebih sedikit panas;Atmosfer mendingin;Panas matahari terperangkap di atmosfer
Mengapa perubahan iklim menyebabkan lebih sering terjadi bencana alam?;Mengurangi curah hujan;Mengubah pola cuaca ekstrem;Mendinginkan suhu bumi;Meningkatkan curah hujan;Mengubah pola cuaca ekstrem
