question;choice1;choice2;choice3;choice4;answer
Sebuah bengkel motor mengalokasikan 25% dari pendapatannya untuk pembelian suku cadang. Jika pendapatan bulanan bengkel adalah Rp 20.000.000, berapa rupiah alokasi untuk suku cadang?;Rp 5.000.000;Rp 4.000.000;Rp 6.000.000;Rp 7.500.000;Rp 5.000.000
Jika bengkel meminjam Rp 50.000.000 dari bank dengan bunga 12% per tahun, berapa bunga yang harus dibayar setelah satu tahun?;Rp 6.000.000;Rp 5.000.000;Rp 7.000.000;Rp 4.500.000;Rp 6.000.000
Dalam sebuah survei kepuasan pelanggan, 40% pelanggan mengatakan mereka sangat puas dengan layanan bengkel. Jika ada 200 pelanggan yang disurvei, berapa banyak pelanggan yang sangat puas?;80 pelanggan;100 pelanggan;60 pelanggan;40 pelanggan;80 pelanggan
Seorang mekanik menghitung kecepatan rata-rata motor yang ia perbaiki. Jika motor berjalan 100 km dalam 2 jam, berapa kecepatan rata-ratanya?;50 km/jam;60 km/jam;40 km/jam;70 km/jam;50 km/jam
Peluang seorang pelanggan membeli suku cadang setelah servis adalah 0.25. Jika bengkel melayani 80 pelanggan dalam sebulan, berapa pelanggan yang diharapkan membeli suku cadang?;20 pelanggan;25 pelanggan;30 pelanggan;15 pelanggan;20 pelanggan
Sebuah bengkel menerima frekuensi peminjaman sepeda motor yang tinggi, dengan data sebagai berikut: 10 kali, 12 kali, 15 kali, 10 kali, 8 kali dalam 5 bulan terakhir. Berapa modus dari data peminjaman?;10 kali;12 kali;15 kali;8 kali;10 kali
Bengkel tersebut ingin memperluas lokasinya yang saat ini berukuran 10m x 20m dengan menambah 50% luas tanah. Berapa meter persegi luas total setelah ekspansi?;300 m²;400 m²;200 m²;500 m²;300 m²
Jika biaya operasional bengkel setiap bulan adalah Rp 10.000.000 dan pengeluaran untuk listrik adalah Rp 1.000.000, berapa persentase dari biaya operasional yang digunakan untuk listrik?;10%;5%;15%;20%;10%
Bengkel tersebut berencana untuk menawarkan diskon 5% pada setiap perbaikan bagi pelanggan yang mengajukan kredit perbankan. Jika biaya rata-rata perbaikan adalah Rp 500.000, berapa biaya setelah diskon?;Rp 475.000;Rp 450.000;Rp 425.000;Rp 480.000;Rp 475.000
Jika sebuah bengkel menghitung bahwa peluang sepeda motor mengalami kerusakan serius setelah servis adalah 0.05, berapa peluang sepeda motor tidak mengalami kerusakan serius dalam 20 servis?;0.36;0.40;0.64;0.59;0.36
