question;choice1;choice2;choice3;choice4;answer
Berapa miligram dalam satu gram?;10 miligram;100 miligram;1000 miligram;10000 miligram;1000 miligram
Jika satu kilogram sama dengan 1000 gram, berapa hektogram dalam satu kilogram?;10 hektogram;100 hektogram;1000 hektogram;0.1 hektogram;10 hektogram
Apa yang lebih besar, kilobyte atau megabyte?;Kilobyte;Megabyte;Sama besar;Tidak ada yang lebih besar;Megabyte
Berapa byte dalam satu kilobyte?;100 bytes;1000 bytes;1024 bytes;2048 bytes;1024 bytes
Jika Anda memiliki 1 gigabyte data, berapa megabyte data tersebut?;100 megabyte;1000 megabyte;1024 megabyte;2048 megabyte;1024 megabyte
Berapa bit dalam satu byte?;4 bit;8 bit;16 bit;32 bit;8 bit
Apa unit pengukuran yang biasa digunakan untuk mengukur panjang?;Gram;Liter;Meter;Kilogram;Meter
Jika Anda memiliki 5 kilometer, berapa meter itu?;500 meter;1000 meter;5000 meter;10000 meter;5000 meter
Berapa liter dalam satu hektoliter?;10 liter;100 liter;1000 liter;10000 liter;100 liter
Jika sebuah flash drive memiliki kapasitas 16 gigabyte, berapa kilobyte kapasitasnya?;16000 kilobyte;160000 kilobyte;16000000 kilobyte;160000000 kilobyte;16000000 kilobyte
