question;choice1;choice2;choice3;choice4;answer
Jika ayam sering sakit, apakah kandangnya tidak sehat?;Tidak sehat;Sehat;Mungkin;Tidak terkait;Tidak sehat
Sapi sering stres, apakah kandangnya terlalu sempit?;Terlalu sempit;Cukup luas;Tidak terkait;Mungkin;Terlalu sempit
Kambing jarang sakit, apakah pakan mereka cukup baik?;Cukup baik;Tidak cukup;Mungkin;Tidak terkait;Cukup baik
Ikan tumbuh cepat, apakah kualitas air kolam bagus?;Air bagus;Air buruk;Mungkin;Tidak terkait;Air bagus
Jika ayam tidak bertelur, apakah makanannya kurang?;Makanan kurang;Makanan cukup;Tidak terkait;Mungkin;Makanan kurang
Sapi sering gelisah, apakah mereka membutuhkan lebih banyak ruang?;Butuh lebih banyak;Cukup ruang;Tidak terkait;Mungkin;Butuh lebih banyak
Kambing selalu sehat, apakah mereka dirawat dengan baik?;Dirawat baik;Dirawat buruk;Mungkin;Tidak terkait;Dirawat baik
Ikan di kolam sering mati, apakah airnya kotor?;Air kotor;Air bersih;Mungkin;Tidak terkait;Air kotor
Ayam sering stres, apakah karena kebisingan?;Karena kebisingan;Tidak berisik;Mungkin;Tidak terkait;Karena kebisingan
Sapi sering lolos, apakah pagar tidak kuat?;Pagar tidak kuat;Pagar kuat;Mungkin;Tidak terkait;Pagar tidak kuat
Kambing tidak tumbuh, apakah karena kurang vitamin?;Kurang vitamin;Cukup vitamin;Tidak terkait;Mungkin;Kurang vitamin
Ikan memiliki warna cerah, apakah karena pakan berkualitas?;Pakan berkualitas;Pakan buruk;Mungkin;Tidak terkait;Pakan berkualitas
Jika ayam sering berkelahi, apakah kandangnya terlalu padat?;Terlalu padat;Cukup luas;Mungkin;Tidak terkait;Terlalu padat
Sapi tidak memiliki nafsu makan, apakah karena pakan buruk?;Pakan buruk;Pakan baik;Mungkin;Tidak terkait;Pakan buruk
Kambing sering bersin, apakah mereka alergi debu?;Alergi debu;Tidak alergi;Mungkin;Tidak terkait;Alergi debu
Ikan bergerak lambat, apakah karena suhu air rendah?;Suhu air rendah;Suhu air tinggi;Mungkin;Tidak terkait;Suhu air rendah
Ayam mengalami penurunan produksi telur, apakah karena stres?;Karena stres;Tidak stres;Mungkin;Tidak terkait;Karena stres
Sapi sering menggosok-gosokkan badan, apakah mereka memiliki parasit?;Ada parasit;Tidak ada parasit;Mungkin;Tidak terkait;Ada parasit
Kambing sering melompat, apakah mereka membutuhkan lebih banyak aktivitas?;Butuh aktivitas;Cukup aktivitas;Tidak terkait;Mungkin;Butuh aktivitas
Ikan jarang makan, apakah karena pakan tidak sesuai?;Pakan tidak sesuai;Pakan sesuai;Mungkin;Tidak terkait;Pakan tidak sesuai
