question;choice1;choice2;choice3;choice4;answer
Jika sebuah sekolah mengalokasikan dana Rp 100 juta untuk pembelian 500 unit komputer namun hanya menerima 400 unit, berapa harga per unit yang sebenarnya dibayar?;Rp 250.000;Rp 200.000;Rp 225.000;Rp 250.000;Rp 250.000
Dalam kasus pengadaan barang, 5 auditor mengumpulkan data selama 10 hari. Jika mereka menemukan 3 kasus korupsi per hari, berapa total kasus korupsi yang ditemukan?;30 kasus;50 kasus;150 kasus;15 kasus;150 kasus
Jika rata-rata harga buku yang dibeli oleh sekolah adalah Rp 20.000 dengan simpangan baku Rp 2.000, dan ditemukan buku yang dibeli seharga Rp 25.000, berapa deviasi dari mean?;2.5;3.5;2;1.5;2.5
Dalam penyelidikan korupsi, analisis dokumen mengungkap 5 jenis tindak pidana. Jika masing-masing tindak pidana ditemukan dalam frekuensi sebagai berikut: 5, 3, 3, 4, 2. Berapa modus dari frekuensi tindak pidana?;3;4;5;2;3
Sebuah sekolah mengklaim menggunakan 10.000 liter disinfektan per bulan untuk membersihkan fasilitas. Jika volume yang digunakan sebenarnya adalah 7.500 liter, berapa persentase klaim yang berlebihan?;25%;20%;30%;15%;25%
Dalam penyelidikan, ditemukan bahwa uang sekolah digunakan untuk membeli 200 liter bahan kimia tanpa penggunaan nyata. Jika bahan kimia tersebut seharusnya digunakan untuk 400 eksperimen, berapa liter bahan kimia yang seharusnya dibutuhkan per eksperimen?;0.5 liter;0.25 liter;1 liter;0.75 liter;0.5 liter
Jika sebuah sekolah mendapatkan dana Rp 500 juta untuk renovasi dan 30% dana tersebut tidak tercatat penggunaannya, berapa jumlah dana yang tidak tercatat?;Rp 150 juta;Rp 200 juta;Rp 100 juta;Rp 250 juta;Rp 150 juta
Sebuah sekolah membeli 50 kursi dengan harga total Rp 10 juta. Jika diketahui bahwa harga per kursi adalah Rp 180.000, berapa banyak kursi yang seharusnya diterima?;55 kursi;56 kursi;60 kursi;50 kursi;55 kursi
Dari 120 transaksi pengadaan, 48 ditemukan tidak memiliki dokumentasi yang lengkap. Berapa persentase transaksi yang bermasalah?;40%;30%;50%;35%;40%
Sebuah sekolah melaporkan kehilangan 200 dari 1.000 buku teks yang dibeli. Berapa persentase buku yang hilang?;20%;15%;25%;10%;20%
