question;choice1;choice2;choice3;choice4;answer
Suhu rata-rata tahunan meningkat dari 25°C menjadi 28°C dalam 10 tahun, berapa kenaikan rata-rata per tahun?;0,2°C;0,3°C;0,5°C;0,1°C;0,3°C
Curah hujan tahunan meningkat sebesar 15% dari 800 mm, berapa total curah hujan setelah peningkatan?;920 mm;850 mm;880 mm;820 mm;920 mm
Jumlah hari panas ekstrim meningkat dari 5 hari menjadi 20 hari dalam setahun, berapa persen peningkatannya?;200%;300%;400%;500%;300%
Emisi CO2 per kapita berkurang dari 8 ton menjadi 6 ton dalam 5 tahun, berapa rata-rata pengurangan per tahun?;0,2 ton;0,4 ton;0,5 ton;0,6 ton;0,4 ton
Tingkat permukaan laut naik sebesar 1,5 cm per tahun, berapa kenaikan total dalam 20 tahun?;25 cm;30 cm;35 cm;40 cm;30 cm
Penggunaan energi terbarukan meningkat sebesar 10% per tahun dari 1000 MWh, berapa total energi terbarukan setelah 2 tahun?;1200 MWh;1210 MWh;1100 MWh;1210 MWh;1210 MWh
Populasi pohon di hutan berkurang sebesar 5% setiap tahun, berapa populasi pohon setelah 2 tahun dari 1000 pohon?;902,5 pohon;950 pohon;910 pohon;900 pohon;902,5 pohon
Suhu rata-rata global naik 2°C dalam 50 tahun, berapa kenaikan suhu rata-rata per dekade?;0,2°C;0,4°C;0,5°C;0,1°C;0,4°C
produksi gandum turun sebesar 2% setiap tahun dari 5000 ton, berapa produksi gandum setelah 3 tahun?;4700 ton;4800 ton;4600 ton;4900 ton;4700 ton
Jumlah kendaraan listrik meningkat sebesar 25% per tahun dari 100 unit, berapa total kendaraan listrik setelah 2 tahun?;156 unit;150 unit;125 unit;156 unit;156 unit
