question;choice1;choice2;choice3;choice4;answer
Jika jembatan bambu dirancang untuk menahan beban maksimal 500 kg dan ada 10 orang yang ingin menyeberang dengan rata-rata berat 60 kg per orang, apakah jembatan tersebut aman untuk digunakan?;Ya;Tidak;Hanya jika mereka berjalan satu per satu;Tidak ada informasi yang cukup;Ya
Jembatan bambu memiliki panjang 20 meter dan lebar 1.5 meter. Jika luas bambu yang digunakan adalah 0.02 m² per meter, berapa total luas bambu yang diperlukan untuk seluruh jembatan?;0.6 m²;30 m²;1.2 m²;12 m²;30 m²
Dalam sebuah kelas, siswa membuat model jembatan bambu. Jika 5 dari 20 model jembatan gagal saat uji coba, berapa persentase model yang berhasil?;75%;25%;50%;100%;75%
Sebuah jembatan bambu didukung oleh tali yang mampu menahan maksimal 200 kg. Jika setiap tali mendistribusikan beban secara merata, berapa banyak tali yang diperlukan untuk menahan beban maksimal 800 kg?;4 tali;2 tali;8 tali;10 tali;4 tali
Jika jembatan bambu memiliki ketinggian 3 meter dan sudut jembatan ke tanah adalah 30°, berapa panjang jembatan dari satu ujung ke ujung lainnya?;6 meter;3 meter;9 meter;12 meter;6 meter
Dalam eksperimen, jembatan bambu mampu menahan rata-rata 300 kg dengan simpangan baku 50 kg. Jika beban yang diletakkan adalah 400 kg, berapa deviasi dari rata-rata?;2;1;0.5;1.5;2
Sebuah jembatan bambu dibangun dengan panjang total 50 meter. Jika bambu memiliki ketahanan tekan 15 MPa dan setiap meter bambu memiliki diameter 10 cm, berapa banyak bambu yang diperlukan untuk memastikan keamanan?;500 batang;100 batang;50 batang;75 batang;50 batang
Jika kelembaban meningkat dan bambu mulai memuai, berapa persentase peningkatan panjang jembatan jika koefisien pemuaian linier bambu adalah 0.00002/°C dan suhu naik 5°C?;0.1%;0.01%;0.001%;0.05%;0.1%
Jembatan bambu yang panjangnya 10 meter dilengkapi dengan penguat pada interval 1 meter. Berapa jumlah penguat yang digunakan?;9;10;11;8;10
Sebuah kelas melakukan proyek untuk mengukur ketahanan berbagai jenis bambu untuk pembuatan jembatan. Jika mereka menguji 4 jenis bambu dan menemukan bahwa jenis ketiga memiliki ketahanan tertinggi, berapa modus dari data ketahanan?;Tidak ada modus;Ketahanan jenis ketiga;Rata-rata ketahanan semua jenis;Ketahanan jenis pertama;Tidak ada modus
