question;choice1;choice2;choice3;choice4;answer
Jika sebuah berita politik dikutip oleh 300 dari 1200 situs web yang disurvei, berapa persentase situs yang mengutip berita tersebut?;15%;25%;20%;30%;25%
Dalam sebuah analisis, 80% dari 50 klaim dalam berita politik ditemukan tidak akurat. Berapa banyak klaim yang tidak akurat?;40;35;45;30;40
Jika sebuah artikel berita memiliki 10 klaim dan 4 di antaranya terbukti salah, berapa persentase klaim yang salah?;40%;50%;60%;30%;40%
Sebuah artikel menyatakan bahwa 60% dari responden mendukung kebijakan baru. Jika ada 200 responden, berapa banyak yang mendukung kebijakan tersebut?;100;120;140;160;120
Dalam sebuah survey, ditemukan bahwa 70% dari 1000 responden skeptis terhadap berita politik online. Berapa jumlah responden yang skeptis?;700;750;650;800;700
Jika sebuah berita politik disebarkan oleh 500 blogger dan 250 di antaranya mengandung informasi yang tidak diverifikasi, berapa persentase blogger tersebut?;50%;40%;60%;45%;50%
Jika 15% dari 800 berita politik di internet mengandung bias, berapa jumlah berita tersebut?;120;140;160;100;120
Dalam sebuah pelaporan, 30% dari 400 artikel politik memiliki kesalahan faktual. Berapa banyak artikel yang memiliki kesalahan?;120;100;130;140;120
Jika 25% dari 1600 artikel politik di internet terbukti bias, berapa jumlah artikel tersebut?;400;350;450;500;400
Sebuah investigasi menunjukkan bahwa 200 dari 500 laporan berita politik mengandung misinformasi. Berapa persentase laporan tersebut?;40%;50%;35%;45%;40%
