question;choice1;choice2;choice3;choice4;answer
Siapa penulis novel 'Max Havelaar'?;Multatuli;Louis Couperus;Eduard Douwes Dekker;Herman Hesse;Multatuli
Apa tujuan utama Multatuli menulis 'Max Havelaar'?;Menghibur pembaca;Mengkritik kolonialisme Belanda;Mendokumentasikan sejarah Indonesia;Menjelaskan budaya Jawa;Mengkritik kolonialisme Belanda
Siapa tokoh utama dalam novel 'Max Havelaar'?;Max Havelaar;Saïdjah;Adinda;Droogstoppel;Max Havelaar
Bagaimana novel 'Max Havelaar' menggambarkan kondisi masyarakat pribumi?;Sebagai masyarakat yang sejahtera;Sebagai masyarakat yang tertindas;Sebagai masyarakat yang bahagia;Sebagai masyarakat yang tidak berbudaya;Sebagai masyarakat yang tertindas
Apa konflik utama yang dihadapi Max Havelaar dalam novel tersebut?;Pertarungan dengan raja setempat;Usahanya melawan sistem pemerintahan kolonial;Cintanya yang tidak terbalas;Pencariannya atas kekayaan;Usahanya melawan sistem pemerintahan kolonial
Bagaimana Multatuli menggunakan struktur cerita dalam 'Max Havelaar'?;Menggunakan satu narator;Menggunakan berbagai narator;Menceritakan secara kronologis;Menggunakan flashbacks;Menggunakan berbagai narator
Apa dampak publikasi 'Max Havelaar' pada masyarakat Belanda saat itu?;Tidak ada perubahan yang signifikan;Menyebabkan reformasi dalam sistem kolonial;Meningkatkan dukungan terhadap kolonialisme;Menyebabkan krisis politik;Menyebabkan reformasi dalam sistem kolonial
Novel 'Max Havelaar' banyak menggunakan dialog. Apa fungsi penggunaan dialog dalam novel ini?;Membangun ketegangan;Mengembangkan karakter;Menjelaskan latar;Menambah deskripsi;Mengembangkan karakter
Dalam novel, apa peran Saïdjah?;Seorang pemberontak;Seorang pahlawan;Seorang petani miskin;Seorang pedagang kaya;Seorang petani miskin
Bagaimana akhir cerita Max Havelaar dalam novel?;Dia menjadi pahlawan bagi rakyat;Dia kembali ke Belanda sebagai orang kaya;Dia dipecat dari jabatannya;Dia menetap di Indonesia;Dia dipecat dari jabatannya
