question;choice1;choice2;choice3;choice4;answer
Apa itu kekerasan dalam rumah tangga?;Pertengkaran antara anggota keluarga;Tindakan menyakiti pasangan atau anggota keluarga di rumah;Diskusi keras antara saudara;Perselisihan tentang uang;Tindakan menyakiti pasangan atau anggota keluarga di rumah
Siapa saja yang bisa menjadi korban kekerasan dalam rumah tangga?;Hanya perempuan;Hanya anak-anak;Semua anggota keluarga;Hanya lansia;Semua anggota keluarga
Apa yang harus dilakukan jika seseorang menjadi saksi kekerasan dalam rumah tangga?;Mengabaikannya karena itu urusan pribadi;Melaporkan ke polisi;Memberi nasihat kepada pelaku;Menertawakan situasi tersebut;Melaporkan ke polisi
Apa yang biasanya mendorong pelaku melakukan kekerasan dalam rumah tangga?;Kecintaan terhadap keluarga;Tekanan pekerjaan;Ingin mengontrol anggota keluarga;Kebahagiaan;Ingin mengontrol anggota keluarga
Apa dampak jangka panjang dari kekerasan dalam rumah tangga terhadap anak?;Peningkatan prestasi akademik;Masalah kesehatan mental;Keterampilan sosial yang lebih baik;Meningkatnya kemandirian;Masalah kesehatan mental
Apa yang dimaksud dengan kekerasan psikologis?;Menyakiti fisik seseorang;Mengancam akan menyakiti seseorang;Menyerang seseorang dengan kata-kata;Membuat lelucon tentang seseorang;Menyerang seseorang dengan kata-kata
Bagaimana sekolah bisa membantu siswa yang menjadi korban kekerasan dalam rumah tangga?;Mengabaikan masalah tersebut;Memberikan dukungan psikologis;Menghukum siswa tersebut;Memberi tugas lebih banyak;Memberikan dukungan psikologis
Mengapa kekerasan dalam rumah tangga sering tidak dilaporkan?;Korban merasa malu;Korban menikmati situasinya;Korban tidak tahu alamat polisi;Pelaku adalah orang yang baik;Korban merasa malu
Siapa yang dapat korban hubungi selain polisi saat mengalami kekerasan dalam rumah tangga?;Teman sekelas;Dokter;Layanan bantuan kekerasan dalam rumah tangga;Penjual di toko;Layanan bantuan kekerasan dalam rumah tangga
Apa yang tidak termasuk tindakan kekerasan dalam rumah tangga?;Memukul;Menyindir;Membantu dengan pekerjaan rumah;Mengancam akan menyakiti;Membantu dengan pekerjaan rumah
