question;choice1;choice2;choice3;choice4;answer
Seorang siswa menghitung jumlah bintang yang terlihat di langit malam. Apa kalimat yang benar untuk menggambarkan pengamatan ini dalam Bahasa Inggris?;He counts the stars are in the sky.;He counted how many stars are in the sky.;He is counting how many stars there are in the sky.;He has count how many stars in the sky.;He is counting how many stars there are in the sky.
Dalam eksperimen kimia, asam bereaksi dengan basa. Manakah kalimat yang benar untuk menjelaskan ini?;The acid and base is reacting.;The acids reacts with bases.;An acid reacts with a base.;Acid reacted by the base.;An acid reacts with a base.
Seorang pelajar mengukur tingkat pH air kolam setiap hari. Pilih pernyataan yang benar.;She is measuring the pH levels of the pond water daily.;She measures the pH level of the pond water daily.;She has measured the pH level at the pond water daily.;She measure the pH levels of pond water daily.;She measures the pH level of the pond water daily.
Dalam pelajaran matematika, siswa belajar menghitung volume kubus. Manakah opsi yang benar?;The students learns to calculate the volume of a cube.;The student learning to calculate the volume of cubes.;The students learn to calculate the volume of a cube.;Students learns how to calculating the volume of a cube.;The students learn to calculate the volume of a cube.
Dalam sastra dunia, 'War and Peace' oleh Leo Tolstoy sering dibahas. Pilih struktur kalimat yang benar.;War and Peace by Leo Tolstoy is often discussed.;War and Peace by Leo Tolstoy are often discussed.;War and Peace by Leo Tolstoy have been discuss.;War and Peace, Leo Tolstoy is discussing often.;War and Peace by Leo Tolstoy is often discussed.
Jika dua planet berotasi mengelilingi bintang yang sama, bagaimana kita menyatakan ini dalam kalimat yang benar?;Two planets rotates around the same star.;Two planets rotate around the same star.;Two planets are rotated around the same star.;Two planet rotates around the same stars.;Two planets rotate around the same star.
Ketika mempelajari ekosistem, siswa mencatat siklus kehidupan katak. Manakah pilihan yang tepat?;The students notes the life cycle of a frog.;The students are noting the life cycles of frogs.;The students note the life cycle of a frog.;Students notes the life cycle of frogs.;The students note the life cycle of a frog.
Dalam diskusi tentang tabel periodik, bagaimana kita menyatakan posisi helium secara gramatikal yang benar?;Helium are located at the top right of the periodic table.;Helium is located at the top right of the periodic table.;Heliums are located at the top-right of the periodic table.;Helium have located on the top right of the periodic table.;Helium is located at the top right of the periodic table.
Seorang guru menjelaskan teori relativitas Einstein. Pilih kalimat yang benar dalam Bahasa Inggris.;The teacher explain Einstein's theory of relativity.;The teacher explains Einstein's theory of relativity.;The teacher have explained Einstein's theory of relativity.;A teacher are explaining Einstein's theory of relativity.;The teacher explains Einstein's theory of relativity.
Ketika siswa mempelajari reaksi kimia eksotermik, mereka melakukan percobaan. Manakah pilihan yang tepat untuk menggambarkan kegiatan ini?;Students performs an experiment on exothermic reactions.;Students perform an experiment on exothermic reaction.;Students is performing experiments on exothermic reactions.;Students perform an experiment on exothermic reactions.;Students perform an experiment on exothermic reactions.
