question;choice1;choice2;choice3;choice4;answer
Apa hasil dari 5 ditambah 3?;8;15;7;10;8
Jika kamu memiliki 10 apel dan memberikan 4 kepada temanmu, berapa apel yang kamu miliki sekarang?;4;6;14;10;6
Apa hasil dari 9 dikurangi 6?;3;15;5;13;3
Berapa hasil dari 7 dikali 3?;21;10;24;17;21
Berapa hasil dari 24 dibagi 6?;4;18;30;12;4
Jika kamu memiliki 15 permen dan membaginya rata ke 3 teman, berapa permen yang didapat setiap teman?;3;5;10;15;5
Berapa hasil dari 2 ditambah 2 dikali 2?;4;6;8;10;6
Berapa hasil dari 9 dikurangi 3 ditambah 1?;5;6;7;9;7
Jika kamu memiliki 4 kue dan membeli 3 lagi, berapa total kue yang kamu miliki?;5;6;7;8;7
Berapa hasil dari 50 dibagi 10 ditambah 2?;5;7;10;12;7
